_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base
heffen.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSnav	0.6503024827017603	0.06128813922961281	NA	NA	bound	261	all	3_3	1	weight	5000	5000	nav	4_4	216	heffen	0.08927522624220197	BOW
heffen.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSall	1.0512387820795897	-0.13071840546911256	NA	NA	bound	261	all	3_3	1	weight	5000	5000	all	4_4	216	heffen	0.13977368775634474	BOW
heffen.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSnav	0.5529627886953347	0.035697940865035624	NA	NA	bound	261	all	3_3	1	weight	FOC	136	nav	4_4	216	heffen	0.09714965239390842	BOW
heffen.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSall	0.5216970382422023	0.01690738664341752	NA	NA	bound	261	all	3_3	1	weight	FOC	261	all	4_4	216	heffen	0.10689440344394731	BOW
heffen.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSnav	0.7585236339200597	0.4342046212526424	NA	NA	bound	261	all	3_3	1	selection	5000	5000	nav	4_4	216	heffen	0.15625647790759684	BOW
heffen.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSall	1.0576785164811071	0.19340563068657726	NA	NA	bound	261	all	3_3	1	selection	5000	5000	all	4_4	216	heffen	0.1695439249514668	BOW
heffen.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSnav	0.5261807728468882	0.15010006880323803	NA	NA	bound	261	all	3_3	1	selection	FOC	136	nav	4_4	216	heffen	0.10343243821700575	BOW
heffen.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall	0.47347652987943745	0.1370132981439396	NA	NA	bound	261	all	3_3	1	selection	FOC	261	all	4_4	216	heffen	0.1103463237860798	BOW
heffen.BOWbound3all.PPMIno.LENGTH5000.SOCPOSnav	0.7880376677393205	0.6014145418828142	NA	NA	bound	372	all	3_3	1	no	5000	5000	nav	4_4	217	heffen	0.17708523858084085	BOW
heffen.BOWbound3all.PPMIno.LENGTH5000.SOCPOSall	1.2251011021696263	0.4711887209357966	NA	NA	bound	372	all	3_3	1	no	5000	5000	all	4_4	217	heffen	0.1705422842635908	BOW
heffen.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSnav	0.5537792694234825	0.2538520557812579	NA	NA	bound	372	all	3_3	1	no	FOC	195	nav	4_4	217	heffen	0.11839316541796756	BOW
heffen.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSall	0.524062369223277	0.2447761967353605	NA	NA	bound	372	all	3_3	1	no	FOC	372	all	4_4	217	heffen	0.12491509078399313	BOW
heffen.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.10892763136658733	-0.3322248031655105	NA	NA	nobound	454	lex	10_10	1	weight	5000	5000	nav	4_4	218	heffen	0.07744524435369042	BOW
heffen.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.13325428743969545	-0.8015957212427729	NA	NA	nobound	454	lex	10_10	1	weight	5000	5000	all	4_4	218	heffen	0.11628737596177281	BOW
heffen.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.12588595059306484	-0.29750461133721634	NA	NA	nobound	454	lex	10_10	1	weight	FOC	314	nav	4_4	218	heffen	0.07750653777659862	BOW
heffen.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.10616242220559141	-0.3143172392039513	NA	NA	nobound	454	lex	10_10	1	weight	FOC	454	all	4_4	218	heffen	0.07945156998382766	BOW
heffen.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.34719803596018656	-0.5317004831008727	NA	NA	nobound	454	lex	10_10	1	selection	5000	5000	nav	4_4	218	heffen	0.10127360831455046	BOW
heffen.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.2991448338519303	-1.0766932448312159	NA	NA	nobound	454	lex	10_10	1	selection	5000	5000	all	4_4	218	heffen	0.13124800073088533	BOW
heffen.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.24761060392645984	-0.36141369091915493	NA	NA	nobound	454	lex	10_10	1	selection	FOC	314	nav	4_4	218	heffen	0.0805954090450618	BOW
heffen.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.23876029950113611	-0.3767945207486037	NA	NA	nobound	454	lex	10_10	1	selection	FOC	454	all	4_4	218	heffen	0.08662479655458678	BOW
heffen.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.6930867784365872	-0.7799235286982188	NA	NA	nobound	991	lex	10_10	1	no	5000	5000	nav	4_4	218	heffen	0.10186527612531657	BOW
heffen.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSall	-0.9894315847065055	-1.5888469682527495	NA	NA	nobound	991	lex	10_10	1	no	5000	5000	all	4_4	218	heffen	0.11198023688677372	BOW
heffen.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.6158246191307637	-0.6102600522078808	NA	NA	nobound	991	lex	10_10	1	no	FOC	702	nav	4_4	218	heffen	0.09195963661328306	BOW
heffen.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSall	-0.600385786844816	-0.6192671298256534	NA	NA	nobound	991	lex	10_10	1	no	FOC	991	all	4_4	218	heffen	0.09420738624071692	BOW
