_model	model.x	model.y	foc_minimum_features	soc_length	soc_length_num	tokens	type	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_ppmi	soc_soc_pos	soc_soc_win	stress	foc_base	soc_vector	pam_cluster	is_medoid
staal.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSnav	-0.09640454413043589	-0.0019369983600877733	1	FOC	501	311	staal	NA	NA	bound	865	all	5_5	no	nav	4_4	0.13983595604206028	BOW	nav_FOC	c3	1
staal.BOWbound5all.PPMIno.LENGTHFOC.SOCPOSall	-0.0747286655060923	-0.022927016771138786	1	FOC	865	311	staal	NA	NA	bound	865	all	5_5	no	all	4_4	0.15304298918877562	BOW	all_FOC	c3	0
staal.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.15602791888820408	0.04567688004739147	1	5000	5000	292	staal	NA	NA	bound	319	lex	3_3	weight	nav	4_4	0.11866521035170031	BOW	nav_5000	c6	0
staal.BOWbound3lex.PPMIweight.LENGTH5000.SOCPOSall	0.0574109420896773	-0.26376915109487037	1	5000	5000	292	staal	NA	NA	bound	319	lex	3_3	weight	all	4_4	0.19174424952825195	BOW	all_5000	c2	0
staal.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.16756883408748147	0.05678619869704012	1	FOC	247	292	staal	NA	NA	bound	319	lex	3_3	weight	nav	4_4	0.1538126661810136	BOW	nav_FOC	c6	0
staal.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.17463268613335917	0.05558530384536922	1	FOC	319	292	staal	NA	NA	bound	319	lex	3_3	weight	all	4_4	0.15918941631907182	BOW	all_FOC	c6	0
staal.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.12581394230997517	-0.01107747214019165	1	5000	5000	292	staal	NA	NA	bound	319	lex	3_3	selection	nav	4_4	0.14452599394936066	BOW	nav_5000	c6	0
staal.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSall	0.09697081210243748	-0.2894767311473101	1	5000	5000	292	staal	NA	NA	bound	319	lex	3_3	selection	all	4_4	0.2089766144514487	BOW	all_5000	c2	0
staal.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.14599836581154668	0.03316164318254039	1	FOC	247	292	staal	NA	NA	bound	319	lex	3_3	selection	nav	4_4	0.15062526275503613	BOW	nav_FOC	c6	1
staal.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.15440145165470828	0.03380297410801504	1	FOC	319	292	staal	NA	NA	bound	319	lex	3_3	selection	all	4_4	0.14820049145964012	BOW	all_FOC	c6	0
staal.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSnav	-0.13096266134385876	-0.03443300328589015	1	5000	5000	301	staal	NA	NA	bound	411	lex	3_3	no	nav	4_4	0.14209395330378324	BOW	nav_5000	c6	0
