pmi10	raw_co10_x	pmi4	raw_co10_y	raw_freq	cw
7.771292	1	8.683892	1.0	3	8T/noun
5.957554	1			19	9,69/num
6.384998	1			12	9.350/num
0.91592854	7	1.2545758	4.0	20345	9/noun
-1.8833632	1			47693	9/num
1.6348618	1			1416	90.000/num
-0.025576757	3			22181	90/num
0.77899665	1			3318	91/num
7.2604666	1	8.173067	1.0	5	9184/num
7.771292	1			3	9192/num
0.39648554	1			4865	99/num
0.01916149	307	0.23737355	155.0	2182842	:/punct
-1.5153922	22	-1.4997576	9.0	715025	;/punct
2.466972	8	1.2923232	1.0	4889	?/name
0.14010437	131	-0.0013435901	46.0	826450	?/punct
3.608251	1			261	???/punct
2.0634623	1			923	@/noun
-0.4703078	2	-0.26020095	1.0	23202	A./name
-0.9375443	2	-0.7313255	1.0	37251	A/name
4.7805724	1			61	A3XX/noun
0.9446686	3	1.432651	2.0	8644	AA/name
4.098373	1			123	AA/noun
0.47221577	3	0.27605867	1.0	13732	ABN/name
0.90937144	1	1.8121532	1.0	2937	ABVV/name
1.0099702	3	0.8093119	1.0	8039	AC/name
2.3547475	1			682	ACLVB/name
3.8842452	1			149	ACNielsen/name
1.3110617	2	1.5201395	1.0	3952	ACV/name
2.7490578	1	3.6071575	1.0	766	ADH/name
6.6029468	1			10	ADM-terrein/name
0.44380733	1			4663	AEX-index/noun
0.35130227	1			6045	AFP/name
2.623507	1	3.5200596	1.0	537	AGOVV/name
3.6507657	2			383	AKC/name
7.322342	1	8.173067	1.0	5	ALKMAAR/name
4.5385137	1	5.416227	1.0	86	ALL/name
7.2604666	1			5	ANC_bestuurder/noun
0.627135	1			4420	ANP/name
8.975265	1	9.782505	1.0	1	ANTWERPEN/CANNES/name
0.79129374	1	1.6888136	1.0	3343	ANWB/name
2.4744759	1			629	AOT/name
-0.21827392	1	0.61277825	1.0	11649	AP/name
1.1207005	2	1.3268946	1.0	4747	AS/name
8.8699045	1			1	ASLK-Merckxploeg/name
1.7957877	1	2.6952446	1.0	1226	AT/name
4.9987035	1	5.911304	1.0	48	AVRO_directeur/noun
1.7300062	1	2.600628	1.0	1697	AVT/name
0.4633356	2			9225	AZ/name
1.916077	1			1074	AZC/name
5.5557184	1			28	AZPC/name
1.0397769	1			2559	Aa/name
0.11056344	4	0.30594233	2.0	26544	Aalst/name
3.3611236	1	4.251589	1.0	257	Aalstar/name
4.36345	1	5.2512503	1.0	94	Aalter-Brug/name
1.0879242	3	1.5702417	2.0	7504	Aalter/name
5.9521337	1			22	Aalterse/name
1.3922154	1			1806	Aarde/name
1.1523919	4	1.3452888	2.0	9452	Aarschot/name
5.8494797	1	6.76208	1.0	21	Aarschottenaar/name
1.6907108	1			1343	Aarsele/name
-0.02407312	1	0.87697583	1.0	7442	Aartsen/name
0.8551885	1	1.7543758	1.0	3125	Ab/name
3.6794508	1	4.5723357	1.0	185	Abdijstraat/name
1.2755232	1	2.1769881	1.0	2028	Abeele/name
7.086513	1			6	Abem/name
8.176757	1			2	AbioCor-kunsthart/noun
2.1408572	1			859	Abrahams/name
2.3490624	1	3.245089	1.0	706	Abvakabo/name
1.4265627	1			1780	Academisch/name
8.8699045	1			1	Acedemia/name
3.4201543	1	4.3133903	1.0	249	Actiecomité/name
0.2227801	1	1.1233132	1.0	5850	Ad/name
2.481091	1	3.366999	1.0	700	Ada/name
3.6977174	1	4.6091843	1.0	177	Adagio/name
0.52336913	1	1.427419	1.0	4284	Adam/name
0.4630843	1			4556	Adams/name
2.6856525	1			494	Addo/name
3.8489888	1			153	Administratieve/name
2.1811762	1			851	Admirals/name
3.5999866	1	4.5018425	1.0	198	Adnan/name
0.029519685	1			7021	Adriaanse/name
4.698599	1			65	Adult/name
2.8331082	1			430	Advanced/name
2.443335	1	3.3427553	1.0	630	Adventure/name
4.008156	1			131	Adviescommissie/name
3.9412026	1			141	Adviseur/name
0.045734048	1			7017	Advocaat/name
0.05761177	1			6888	Aegon/name
2.6447523	1			512	Aelbrecht/name
1.3685876	2	1.5791324	1.0	3724	Aelvoet/name
0.1386569	1	1.0378973	1.0	6608	Aerts/name
5.4359174	1			31	Afeworki/name
0.5813386	2	1.4790311	2.0	8188	Afghaans/adj
-0.009303396	3	-0.2071202	1.0	21966	Afghanistan/name
0.8869859	7	1.230524	4.0	20848	Afrika/name
-0.8389875	1	0.0647146	1.0	16737	Afrikaans/adj
2.2796035	1			741	Afrikaanse/name
8.8699045	1			1	Afro-Rican/name
2.3811555	1			669	After/name
0.45490736	4			18542	Agalev/name
1.886439	1	2.7735476	1.0	1138	Agfa-Gevaert/name
4.5017233	1			80	Agra/name
1.2875733	2			4007	Ahmed/name
-0.30632055	1	0.5959195	1.0	9948	Ahold/name
3.044052	1			343	Aigner/name
1.4071153	2	1.6129916	1.0	3581	Aimé/name
-0.37649298	1	0.5221608	1.0	10646	Air/name
0.6585573	1			3823	Airways/name
-0.048289448	6	-0.24523361	2.0	45888	Ajax/name
3.5765996	1			203	Aka/name
2.8536253	1	3.7587547	1.0	417	Akkerman/name
3.1224241	1			320	Akkoord/name
1.0680019	1			2474	Al/det
0.46975458	3	0.2733849	1.0	13584	Al/name
-0.43119484	1			11202	Alain/name
3.4881654	1			221	Alamos/name
1.3381735	3			5724	Alan/name
0.5274278	2	0.73782074	1.0	8531	Albanees/noun
0.23023261	4	-0.25501078	1.0	23148	Albert/name
3.0098307	1			356	Albertkanaal/noun
1.0368195	1	1.9379213	1.0	2585	Alberto/name
1.4403837	1			1715	Albright/name
1.0997446	1	1.9956417	1.0	2464	Alcatel/name
2.838138	1			432	Alcoa/name
2.498378	1			594	Alders/name
5.7475395	1			24	Aldhem/name
2.0336988	1	2.9356947	1.0	956	Aldo/name
-0.48122776	1			12050	Alex/name
2.4354382	4	3.0471704	3.0	2548	Alfons/name
0.60893345	1			3952	Alfred/name
0.8037597	2	1.7017065	2.0	6595	Algemeen/name
0.18277442	1	1.0839698	1.0	6056	Algemene/name
0.2901309	2			10850	Ali/name
1.4416901	2			3423	Alice/name
2.5839994	1	3.482637	1.0	555	Alin/name
2.910963	1			393	Alle/name
2.1662257	1			831	Allemaal/name
0.54060835	1	1.443452	1.0	4225	Allen/name
0.6176669	1	1.5223676	1.0	3886	Alliantie/name
4.1726108	1			112	Almachtige/name
8.8699045	1			1	Almerisa/noun
2.527079	1			578	Alpe/name
0.85444504	1	1.7535608	1.0	3086	Alpen/name
5.0721707	2	5.9758425	2.0	91	Alpenklassieker/noun
4.457106	1	5.3561625	1.0	84	Als/name
1.827662	1			1181	Alsemberg/name
5.399492	1			33	Amandine/noun
2.4135273	1	3.320451	1.0	644	Amato/name
2.244512	1	3.1441007	1.0	772	Amber/name
7.2604666	1			5	Amendoim/name
0.6344356	12	0.15301844	3.0	45923	Amerika/name
0.032138873	8	0.6490726	6.0	56013	Amerikaan/noun
0.18340829	38	0.084059	14.0	231449	Amerikaans/adj
6.3401837	1			13	Ameti/name
2.236981	1			777	Amos/name
0.54641336	3	0.34808144	1.0	12717	Amro/name
0.32832113	1			5212	Amstel/name
5.4538183	1			32	Amstelkerk/noun
-0.4284725	13	-0.99866074	3.0	146502	Amsterdam/name
0.39548516	10	0.08555733	3.0	49844	Amsterdams/adj
4.051237	1			128	Amtrak/name
6.1290646	1	7.041665	1.0	16	An-Marie/name
0.8724599	2	1.0821571	1.0	6063	An/name
3.1272218	1			321	Anaheim/name
4.2712555	1			102	Anatoly/name
6.267215	1	7.1705985	1.0	14	Anchi/name
0.4254379	2	0.63589007	1.0	9518	Anciaux/name
4.283917	1			99	Andante/name
0.81149805	2			6361	Anderen/name
-0.535346	3	-0.7374951	1.0	37583	Anderlecht/name
3.4740067	1			227	Anderlecht_speler/noun
2.8446426	1			425	Anderlecht_trainer/noun
6.304955	1	7.1891174	1.0	14	Anderlechtfans/noun
1.5866966	1			1491	Andorra/name
0.87706125	1	1.779309	1.0	3023	Andries/name
-0.055286188	3			23199	André/name
0.23798178	2			11432	Andy/name
4.214992	1			107	Anglicaanse/adj
1.063941	1			2507	Angola/name
2.1046348	1			907	Angolees/adj
1.1213582	1			2376	Anita/name
1.1488107	4	1.7627687	3.0	9235	Ann/name
5.9795327	1	6.892133	1.0	18	Annan/det
0.99140817	2	1.201328	1.0	5403	Annan/name
4.027688	1	4.9246325	1.0	131	Anne-Sophie/name
-0.37701854	1			10590	Anne/name
1.4752578	1			1665	Anneke/name
0.90097916	1			2991	Annelies/name
1.5175916	1	2.4193046	1.0	1599	Annick/name
7.771292	1			3	Anthe/noun
0.8118699	2			6436	Anthony/name
1.5111585	3	1.3137932	1.0	4814	Anthuenis/name
2.5109797	2	3.412711	2.0	1216	Anthuenis/noun
2.539649	2	2.7472363	1.0	1152	Antonis/name
1.3892674	5	1.3708111	2.0	9093	Antwerp/name
0.05212478	14	-0.3182698	4.0	98965	Antwerpen/name
2.2169125	1			811	Antwerpenaars/noun
0.15973477	7	0.49527004	4.0	43848	Antwerps/adj
7.2604666	1	8.173067	1.0	5	Apollo_generatie/noun
5.250911	1			45	Apolloon/noun
2.218268	1			807	Apotheker/name
1.7548505	1			1261	Appelmans/name
3.3883286	2			491	Appie/name
-0.83646965	1	0.06893016	1.0	16633	Arabisch/adj
1.855989	1			1125	Arafat/det
0.90004873	5	1.291399	3.0	14737	Arafat/name
0.8948097	3	0.69636816	1.0	8906	Arena/name
1.3529272	1			1941	Arg/name
0.57049423	1			4091	Argentijn/noun
0.98250186	3			8234	Argentijns/adj
0.89878416	1	1.7982978	1.0	2967	Ariel/name
2.5395153	2	2.7489984	1.0	1144	Aristide/name
1.332288	1			1928	Arjan/name
3.3892655	1			245	Armada/name
0.42493257	2	0.6254071	1.0	9585	Arnhem/name
3.0626633	1	3.9465983	1.0	372	Arp/name
1.8997614	2	2.106727	1.0	2178	Artsen/name
2.0242374	1	2.929206	1.0	952	Assad/name
1.5245396	1	2.415349	1.0	1617	Assebroek/name
1.0513334	1	1.9385092	1.0	2599	Assenede/name
1.5546196	1	2.4557927	1.0	1533	Astra/name
3.9889982	1	4.8893404	1.0	134	Astra/noun
0.7217046	1	1.6200956	1.0	3601	Astrid/name
4.6870914	1	5.5985484	1.0	66	Asturias/name
2.0341823	1	2.936891	1.0	946	At/name
3.2969902	1	4.195256	1.0	269	Athenaeum/name
0.5574871	3	1.0503112	2.0	12501	Athene/name
0.41000146	1			4792	Atlanta/name
5.373397	1	6.2859974	1.0	33	Atlasgebergte/name
1.1070745	1			2395	August/name
0.73128134	1			3487	Australian/name
-0.56492656	1			12935	Australisch/adj
-0.8864395	1			17632	Australië/name
0.11482099	1			6457	Australiër/noun
2.1043465	1	2.9984722	1.0	893	Auto/name
7.48361	1			4	Autoslaap/name
6.678251	1			9	Autovakanties/name
1.510055	1			1605	Auxerre/name
5.3779526	1	6.2859974	1.0	33	Avni/name
0.79854536	1			3270	Award/name
1.1467291	2			4654	Axel/name
4.294163	1			102	Azalea/noun
0.00542627	1			7188	Aziatisch/adj
0.26758	2			11101	Azië/name
2.717491	1			479	Azië_crisis/noun
1.039459	1			2554	Aznar/name
8.8699045	1	9.782505	1.0	1	Aïgi/name
6.1618543	1			15	B-film/name
-1.0376099	1			20405	B./name
-0.5629713	2	-0.35438836	1.0	25527	B/name
0.4637285	3	1.3577104	3.0	13905	BBC/name
4.286469	1	5.1226096	1.0	127	BBV/name
3.141592	1	4.0064015	1.0	370	BDT/name
7.771292	1	8.683892	1.0	3	BERINGEN-NEEROETEREN/name
8.921198	1	9.782505	1.0	1	BERLIJN/BRUSSEL/name
2.6527994	1			566	BIJ/name
6.097316	1			16	BIW/name
8.8699045	1	9.782505	1.0	1	BJK'ers/noun
1.7365606	5	2.6266599	5.0	6529	BK/name
2.9210865	1			496	BKW/name
8.8699045	1			1	BLANKENBERGE-WIELSBEKE/name
3.2123404	1			507	BMK/name
1.5475261	1	2.4509535	1.0	1539	BOIC/name
4.3223634	1	5.19118	1.0	102	BOORTMEERBEEK/name
3.3488436	2	3.5035145	1.0	640	BPW/name
1.5086243	1			1760	BRUGGE/name
1.5965344	2			2949	BSE/name
4.6394277	1			70	BSE_vrij/adj
8.176757	1	9.089357	1.0	2	BS_supporter/noun
7.1561065	1	8.055284	1.0	6	BUITENWERELD/name
2.4185655	1	3.3210368	1.0	646	BWB/name
3.1144788	1	4.0200605	1.0	320	BZ/name
8.8699045	1			2	BZVB_zaal_voetbal/noun
7.2604666	1			5	Baafi/name
6.384998	1	7.2975984	1.0	12	Baakman/name
0.6312288	2			7741	Baan/name
2.3358977	1			705	Baantjer/name
1.982658	1			996	Babylon/name
2.7465348	1			475	Backstreet/name
2.8570454	1	3.7581496	1.0	417	Bael/name
5.6371255	1			26	Baeremaecker/name
