pmi10	raw_co10_x	pmi4	raw_co10_y	raw_freq	cw
7.020035	2	7.2349873	1.0	38	Dooreman/name
9.943196	1			1	Dorrenboom/name
9.943196	1	10.862656	1.0	1	Doubt-geluid/name
1.32444	1	2.2307062	1.0	5686	Douglas/name
4.5704675	1			220	Dowd/name
8.004455	1			7	Downstairs/adj
4.860861	1	5.778925	1.0	162	Dragomir/name
2.6387815	1			1515	Dream/name
3.5903058	1			582	Dreams/name
5.305317	2			208	Drift/name
2.113228	1	3.0153327	1.0	2596	Drongen/name
9.25005	1	10.169509	1.0	2	Duato's/det
7.6406116	1			10	Duinpad/name
9.943196	1	10.862656	1.0	1	Duinpad/noun
-0.19758698	4	-0.67812073	1.0	104339	Duits/adj
1.8767064	1	2.7889023	1.0	3224	Duits/noun
2.9905157	1	3.9024267	1.0	1060	Duits_talig/adj
0.4136863	2			27916	Duitser/noun
7.2023563	1			16	Duravit/name
4.267471	1			297	Dynamite/name
2.5611966	1			1646	EO/name
2.649159	1			1508	Eagles/name
6.0523973	1	6.9657464	1.0	50	Eastenders/name
1.3957069	1			5329	Ed/name
1.961207	1			2985	Eddie/name
5.6170793	1			77	Edelman/name
3.6879265	1	4.60188	1.0	529	Ederveen/name
1.839415	1			3422	Edgar/name
5.1204987	3			377	Edge/name
2.7691998	1			1328	Eduardo/name
6.8521543	1	7.771613	1.0	22	Eggs/name
2.4703262	1			1791	Egyptenaar/noun
1.4181641	1			5144	Egyptisch/adj
4.9551477	1	5.8662887	1.0	150	Eimers/name
1.083691	2	1.9882865	2.0	14444	Eindhoven/name
0.14809626	1			18229	El/name
6.4573517	1			34	Elantra/noun
6.2418947	1			41	Elevator/name
6.009412	2	6.921074	2.0	103	Elsschots/det
3.4912264	1			648	Emerson/name
3.0065136	1	3.9155595	1.0	1051	Emmy/name
0.19985276	2			34599	Engeland/name
-0.5178991	1			35568	Engels/adj
1.4340607	2			10037	Engels/name
2.5100324	1	3.4210422	1.0	1712	England/name
2.693058	1	3.6042435	1.0	1431	Enrique/name
4.6526594	1	5.5637136	1.0	202	Enzensberger/name
7.4582896	1			12	Erfdragers/name
6.8589954	1			22	Erlkönig/name
3.8112094	1			469	Escher/name
9.943196	1			1	Estampie/name
6.9830914	1	7.8795023	1.0	20	Ethiopiërs/adj
-0.5735081	3			112784	Europa/name
-1.3617151	2	-1.1468209	1.0	165681	Europees/adj
6.9987574	1			19	Evenkia/name
4.9117785	2			310	Every/name
9.943196	1			1	Evreux-sur-L'Arbresle/adj
3.492489	1			644	Ex/name
4.0150714	1			383	Extreme/name
8.056127	1			7	F-117/noun
0.50972056	1			12729	F./name
-1.081215	1			63479	FC/name
9.943196	1			1	Fakesch/name
9.25005	1	10.169509	1.0	2	Fargion/noun
2.9898944	1			1064	Fassa/name
7.9795866	2			15	Fassbender/name
3.546767	1			604	Fat/name
5.209193	1			115	Fats/name
9.943196	1	10.862656	1.0	1	Feitens/det
9.25005	1			2	Femie/name
3.29184	3			2365	Ferdinand/name
2.199103	1			2367	Fernand/name
1.3008696	1			5785	Ferrari/name
4.4650607	1			243	Ferron/name
0.61729777	1			11562	Festival/name
1.6788074	1			4023	Fiat/name
7.6406116	1	8.560071	1.0	10	Fiat_model/noun
2.8024662	2			2591	Fifa/name
7.745972	1	8.665431	1.0	9	Filipino/name
8.844584	1			3	First/PIAS/name
5.3893194	1			96	Flame/name
5.0188456	1	5.917448	1.0	144	Flandrien/noun
3.5946696	2			1167	Flor/name
7.0417747	1			19	Focus/det
1.8982495	1			3194	Focus/name
5.3628316	1			99	Ford/det
1.0617943	2	1.2770432	1.0	14754	Ford/name
5.286383	1			107	Fords/det
5.383547	1			97	Fords/name
