_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_vector	soc_length_num	soc_soc_win	tokens	type	stress	foc_base	pam_cluster	is_medoid
herstellen.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSnav	0.21865396080835592	0.18967766165430477	NA	NA	bound	269	all	3_3	1	selection	nav_5000	5000	4_4	237	herstellen	0.24868094384189923	BOW	c6	0
herstellen.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSall	0.23843251628073184	-0.3154420460694407	NA	NA	bound	269	all	3_3	1	selection	all_5000	5000	4_4	237	herstellen	0.2517952156412924	BOW	c5	0
herstellen.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSnav	0.10883076116187376	0.15140424454412674	NA	NA	bound	269	all	3_3	1	selection	nav_FOC	133	4_4	237	herstellen	0.25527866404627325	BOW	c6	0
herstellen.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall	0.10862488150411428	0.13705762730462837	NA	NA	bound	269	all	3_3	1	selection	all_FOC	269	4_4	237	herstellen	0.25396120121428106	BOW	c4	0
herstellen.BOWbound3all.PPMIno.LENGTH5000.SOCPOSnav	0.19616586343869097	0.16533454389610347	NA	NA	bound	411	all	3_3	1	no	nav_5000	5000	4_4	239	herstellen	0.24074522632702125	BOW	c6	0
herstellen.BOWbound3all.PPMIno.LENGTH5000.SOCPOSall	0.13154107472597543	-0.3600563077715368	NA	NA	bound	411	all	3_3	1	no	all_5000	5000	4_4	239	herstellen	0.2507030295123237	BOW	c5	0
herstellen.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSnav	0.10372099392228798	0.09854509563905596	NA	NA	bound	411	all	3_3	1	no	nav_FOC	202	4_4	239	herstellen	0.2602884570743501	BOW	c6	0
herstellen.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSall	0.10683884256025854	0.09383809081732988	NA	NA	bound	411	all	3_3	1	no	all_FOC	411	4_4	239	herstellen	0.2510250112182709	BOW	c6	0
herstellen.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.13263926961677197	0.09026659282087808	NA	NA	nobound	451	lex	10_10	1	weight	nav_5000	5000	4_4	239	herstellen	0.25206163684613264	BOW	c1	0
herstellen.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.20385009878554483	-0.10816920407473872	NA	NA	nobound	451	lex	10_10	1	weight	all_5000	5000	4_4	239	herstellen	0.26055386404182507	BOW	c2	0
herstellen.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.12268890253640045	0.079269284977445	NA	NA	nobound	451	lex	10_10	1	weight	nav_FOC	307	4_4	239	herstellen	0.2376433584652768	BOW	c1	0
herstellen.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.12380383896564394	0.05778421558577253	NA	NA	nobound	451	lex	10_10	1	weight	all_FOC	451	4_4	239	herstellen	0.23780672863438687	BOW	c1	0
herstellen.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.20860901733953663	0.03979447780040019	NA	NA	nobound	451	lex	10_10	1	selection	nav_5000	5000	4_4	239	herstellen	0.26313916294724227	BOW	c1	0
herstellen.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.22329180819177016	-0.15586579700687303	NA	NA	nobound	451	lex	10_10	1	selection	all_5000	5000	4_4	239	herstellen	0.2513838196719211	BOW	c2	0
herstellen.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.1391898005372651	0.0217742538938898	NA	NA	nobound	451	lex	10_10	1	selection	nav_FOC	307	4_4	239	herstellen	0.24748799569371163	BOW	c1	0
herstellen.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.1541241266675849	0.016830426547963236	NA	NA	nobound	451	lex	10_10	1	selection	all_FOC	451	4_4	239	herstellen	0.24636263959805038	BOW	c1	0
herstellen.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.26060634203966937	0.006347388714768387	NA	NA	nobound	1061	lex	10_10	1	no	nav_5000	5000	4_4	239	herstellen	0.2594281252860941	BOW	c3	0
herstellen.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSall	-0.3817682601902557	-0.26469367710085445	NA	NA	nobound	1061	lex	10_10	1	no	all_5000	5000	4_4	239	herstellen	0.22954147050582366	BOW	c3	0
herstellen.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.21384912343613252	-0.009325941807924612	NA	NA	nobound	1061	lex	10_10	1	no	nav_FOC	769	4_4	239	herstellen	0.25576474407862654	BOW	c3	0
herstellen.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSall	-0.2245374124836902	-0.012223121486466381	NA	NA	nobound	1061	lex	10_10	1	no	all_FOC	1061	4_4	239	herstellen	0.2517387430435809	BOW	c3	0
herstellen.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSnav	0.020518374750537974	0.1385387427250696	NA	NA	nobound	628	all	10_10	1	weight	nav_5000	5000	4_4	239	herstellen	0.2289404860491947	BOW	c4	0
herstellen.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSall	-0.13307293179047008	-0.14001226716602672	NA	NA	nobound	628	all	10_10	1	weight	all_5000	5000	4_4	239	herstellen	0.24490534560301222	BOW	c2	0
herstellen.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.014749911834618119	0.08110654326747979	NA	NA	nobound	628	all	10_10	1	weight	nav_FOC	307	4_4	239	herstellen	0.21494762613772858	BOW	c4	0
herstellen.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.020557504974030753	0.053149856622160215	NA	NA	nobound	628	all	10_10	1	weight	all_FOC	628	4_4	239	herstellen	0.21588264967845572	BOW	c4	0
herstellen.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSnav	0.1155630230459511	-0.039265662647186936	NA	NA	nobound	628	all	10_10	1	selection	nav_5000	5000	4_4	239	herstellen	0.2610022122465593	BOW	c3	0
herstellen.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSall	-0.13482358143805723	-0.3817327569689318	NA	NA	nobound	628	all	10_10	1	selection	all_5000	5000	4_4	239	herstellen	0.2337079412137461	BOW	c5	0
herstellen.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.02470972815460357	-0.0033921172508891576	NA	NA	nobound	628	all	10_10	1	selection	nav_FOC	307	4_4	239	herstellen	0.24543407849634039	BOW	c3	0
herstellen.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSall	-0.03888926374906442	-0.03203393957905143	NA	NA	nobound	628	all	10_10	1	selection	all_FOC	628	4_4	239	herstellen	0.23480742364477758	BOW	c3	0
herstellen.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSnav	-0.09123654069923871	-0.19663265059420482	NA	NA	nobound	1477	all	10_10	1	no	nav_5000	5000	4_4	239	herstellen	0.26888651620467313	BOW	c3	0
herstellen.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSall	-0.2876487432674215	-0.40617257991154593	NA	NA	nobound	1477	all	10_10	1	no	all_5000	5000	4_4	239	herstellen	0.22507659431837237	BOW	c3	0
herstellen.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSnav	-0.12156034681111495	-0.10608042440234847	NA	NA	nobound	1477	all	10_10	1	no	nav_FOC	769	4_4	239	herstellen	0.23879674522212221	BOW	c3	0
herstellen.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSall	-0.15820958795101583	-0.1837460581551834	NA	NA	nobound	1477	all	10_10	1	no	all_FOC	1477	4_4	239	herstellen	0.2222863425954437	BOW	c3	0
herstellen.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.11703664691074696	0.11524963255342267	NA	NA	nobound	319	lex	5_5	1	weight	nav_5000	5000	4_4	227	herstellen	0.26058677019991394	BOW	c1	0
herstellen.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSall	-0.19966240502021856	-0.0938299174456183	NA	NA	nobound	319	lex	5_5	1	weight	all_5000	5000	4_4	227	herstellen	0.2629835886523923	BOW	c2	0
herstellen.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.09386656221885623	0.09859696251777182	NA	NA	nobound	319	lex	5_5	1	weight	nav_FOC	219	4_4	227	herstellen	0.2522883828571592	BOW	c1	0
herstellen.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.09918482617725799	0.08102045560641585	NA	NA	nobound	319	lex	5_5	1	weight	all_FOC	319	4_4	227	herstellen	0.251754726390885	BOW	c1	0
herstellen.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.16399078922624424	0.08248674923606927	NA	NA	nobound	319	lex	5_5	1	selection	nav_5000	5000	4_4	227	herstellen	0.2535361767122145	BOW	c1	0
