_model	model.x	model.y	foc_minimum_features	soc_length	soc_length_num	tokens	type	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_ppmi	soc_soc_pos	soc_soc_win	stress	foc_base
staal.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSall	0.6424760586712739	-2.7869951491416263	1	5000	5000	311	staal	NA	NA	nobound	1812	all	10_10	no	all	4_4	0.15079366099071098	BOW
staal.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSnav	-1.308859527570294	-0.4955933739594055	1	FOC	1041	311	staal	NA	NA	nobound	1812	all	10_10	no	nav	4_4	0.13002517083430698	BOW
staal.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSall	-1.2795799030805708	-0.6593087460043158	1	FOC	1812	311	staal	NA	NA	nobound	1812	all	10_10	no	all	4_4	0.14564614956462987	BOW
staal.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.8531076684252875	0.22647220667226994	1	5000	5000	308	staal	NA	NA	nobound	514	lex	5_5	weight	nav	4_4	0.11568458587001788	BOW
staal.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSall	-0.37508803482127917	-1.4817435144421527	1	5000	5000	308	staal	NA	NA	nobound	514	lex	5_5	weight	all	4_4	0.18858771032006802	BOW
staal.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.9571577493212139	0.6288545488351717	1	FOC	392	308	staal	NA	NA	nobound	514	lex	5_5	weight	nav	4_4	0.13280894979343374	BOW
staal.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.9320801995307633	0.5786451395516445	1	FOC	514	308	staal	NA	NA	nobound	514	lex	5_5	weight	all	4_4	0.12856382216823356	BOW
staal.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.9724610160323234	-0.13223521402833718	1	5000	5000	308	staal	NA	NA	nobound	514	lex	5_5	selection	nav	4_4	0.14767768974587248	BOW
staal.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSall	-0.44866823821945157	-1.6666404638100123	1	5000	5000	308	staal	NA	NA	nobound	514	lex	5_5	selection	all	4_4	0.2016331194347661	BOW
staal.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.9988186111823237	0.4002851791324235	1	FOC	392	308	staal	NA	NA	nobound	514	lex	5_5	selection	nav	4_4	0.13831849666461793	BOW
staal.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.9601446879606294	0.335782810414325	1	FOC	514	308	staal	NA	NA	nobound	514	lex	5_5	selection	all	4_4	0.13331852458325466	BOW
staal.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSnav	-1.1115814703543527	-0.30213499985733605	1	5000	5000	311	staal	NA	NA	nobound	732	lex	5_5	no	nav	4_4	0.13989321422309378	BOW
staal.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSall	-0.4534157126762762	-2.1409209429147738	1	5000	5000	311	staal	NA	NA	nobound	732	lex	5_5	no	all	4_4	0.18338645650034938	BOW
staal.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-1.0872075361726905	0.2796674835093865	1	FOC	562	311	staal	NA	NA	nobound	732	lex	5_5	no	nav	4_4	0.12918808123231196	BOW
staal.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSall	-1.0434257553939534	0.214194729199924	1	FOC	732	311	staal	NA	NA	nobound	732	lex	5_5	no	all	4_4	0.12852474316880988	BOW
staal.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSnav	-0.31283844727939303	-0.03590749038070104	1	5000	5000	311	staal	NA	NA	nobound	658	all	5_5	weight	nav	4_4	0.09839987941385944	BOW
staal.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSall	0.6406081547745266	-1.3126385353980414	1	5000	5000	311	staal	NA	NA	nobound	658	all	5_5	weight	all	4_4	0.17844031176846045	BOW
staal.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.5780268483323667	0.4342640536798018	1	FOC	392	311	staal	NA	NA	nobound	658	all	5_5	weight	nav	4_4	0.12677935931747786	BOW
staal.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSall	-0.5181305318240736	0.3160293090931917	1	FOC	658	311	staal	NA	NA	nobound	658	all	5_5	weight	all	4_4	0.12631939692743938	BOW
staal.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSnav	0.23600766984448862	-0.4371385951927584	1	5000	5000	311	staal	NA	NA	nobound	658	all	5_5	selection	nav	4_4	0.17450114481208268	BOW
staal.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSall	1.2973547398160883	-1.3040401585347363	1	5000	5000	311	staal	NA	NA	nobound	658	all	5_5	selection	all	4_4	0.15563804473359216	BOW
staal.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.3498688010345607	0.13090294748809084	1	FOC	392	311	staal	NA	NA	nobound	658	all	5_5	selection	nav	4_4	0.14740328915370518	BOW
staal.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSall	-0.2653235567602455	0.008835582050170819	1	FOC	658	311	staal	NA	NA	nobound	658	all	5_5	selection	all	4_4	0.15578309477714355	BOW
staal.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSnav	0.2947263665313069	-0.6517054454292059	1	5000	5000	311	staal	NA	NA	nobound	968	all	5_5	no	nav	4_4	0.17443277271981328	BOW
