_model	model.x	model.y	foc_minimum_features	soc_vector	soc_length_num	tokens	type	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_ppmi	soc_soc_win	stress	foc_base	pam_cluster	is_medoid
horde.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSall	-0.30034616083999727	0.05832067519843503	1	all_5000	5000	277	horde	NA	NA	nobound	790	all	10_10	selection	4_4	0.247116347833202	BOW	c5	0
horde.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSnav	0.1353311274546377	-0.11192407516574443	1	nav_FOC	422	277	horde	NA	NA	nobound	790	all	10_10	selection	4_4	0.21316474561781673	BOW	c4	0
horde.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSall	0.1384144779822133	-0.11777890470029767	1	all_FOC	790	277	horde	NA	NA	nobound	790	all	10_10	selection	4_4	0.20864980443122666	BOW	c4	0
horde.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSnav	0.39731426917186335	-0.10090031101608708	1	nav_5000	5000	278	horde	NA	NA	nobound	1723	all	10_10	no	4_4	0.0873997988832848	BOW	c3	0
horde.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSall	-0.42077738326247294	-0.32729159630627286	1	all_5000	5000	278	horde	NA	NA	nobound	1723	all	10_10	no	4_4	0.2287015394717373	BOW	c3	0
horde.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSnav	0.2762175409488583	-0.17649623399170514	1	nav_FOC	894	278	horde	NA	NA	nobound	1723	all	10_10	no	4_4	0.1834499765631229	BOW	c3	0
horde.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSall	0.2984327744827175	-0.22911788273052094	1	all_FOC	1723	278	horde	NA	NA	nobound	1723	all	10_10	no	4_4	0.17885718050896457	BOW	c3	0
horde.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.030951400537695708	-0.1593718289482349	1	nav_5000	5000	264	horde	NA	NA	nobound	453	lex	5_5	weight	4_4	0.25668847146525775	BOW	c1	0
horde.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSall	-0.33141985860366113	-0.07609883046145811	1	all_5000	5000	264	horde	NA	NA	nobound	453	lex	5_5	weight	4_4	0.2658205460755896	BOW	c2	0
horde.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	0.014104404060226236	-0.16181201852583668	1	nav_FOC	330	264	horde	NA	NA	nobound	453	lex	5_5	weight	4_4	0.25842580078516697	BOW	c1	0
horde.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSall	0.014617931783600343	-0.16103786466785272	1	all_FOC	453	264	horde	NA	NA	nobound	453	lex	5_5	weight	4_4	0.2577583072401684	BOW	c1	0
horde.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.05651597630968202	-0.18840521371424196	1	nav_5000	5000	264	horde	NA	NA	nobound	453	lex	5_5	selection	4_4	0.2551793016073634	BOW	c1	0
horde.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSall	-0.3490114659743701	-0.05656570739698658	1	all_5000	5000	264	horde	NA	NA	nobound	453	lex	5_5	selection	4_4	0.25940920178108984	BOW	c2	0
horde.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	0.021451856703022167	-0.14239040839378223	1	nav_FOC	330	264	horde	NA	NA	nobound	453	lex	5_5	selection	4_4	0.2512375724373218	BOW	c1	0
horde.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSall	0.018398005917200283	-0.14418664156100763	1	all_FOC	453	264	horde	NA	NA	nobound	453	lex	5_5	selection	4_4	0.24963111431260956	BOW	c1	0
horde.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSnav	-0.01396518371404724	-0.2707091894568952	1	nav_5000	5000	274	horde	NA	NA	nobound	669	lex	5_5	no	4_4	0.25704213019237565	BOW	c1	0
horde.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSall	-0.4321219483475261	-0.07645909561714344	1	all_5000	5000	274	horde	NA	NA	nobound	669	lex	5_5	no	4_4	0.2738988096895091	BOW	c2	0
horde.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSnav	0.07126061760250144	-0.1670945747917274	1	nav_FOC	494	274	horde	NA	NA	nobound	669	lex	5_5	no	4_4	0.2487579859531709	BOW	c1	0
horde.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSall	0.07387432908815436	-0.18173579612082735	1	all_FOC	669	274	horde	NA	NA	nobound	669	lex	5_5	no	4_4	0.24576001411349543	BOW	c1	0
horde.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSnav	-0.011414449926949097	-0.06824630865166421	1	nav_5000	5000	276	horde	NA	NA	nobound	614	all	5_5	weight	4_4	0.24484563836599882	BOW	c4	0
horde.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSall	-0.24502114283305018	-0.007866103568151211	1	all_5000	5000	276	horde	NA	NA	nobound	614	all	5_5	weight	4_4	0.25810126339957173	BOW	c5	0
horde.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSnav	0.043834850763824	-0.0967973260015066	1	nav_FOC	330	276	horde	NA	NA	nobound	614	all	5_5	weight	4_4	0.23633999901365874	BOW	c4	0
horde.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSall	0.024504629454703917	-0.09200846069085289	1	all_FOC	614	276	horde	NA	NA	nobound	614	all	5_5	weight	4_4	0.23164313711984083	BOW	c4	0
