_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base
herstellen.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.2615182276013658	-0.06495078214887808	NA	NA	bound	288	lex	3_3	1	no	FOC	202	nav	4_4	232	herstellen	0.2878061453608297	BOW
herstellen.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSall	-0.26549191500395153	-0.05507674118361221	NA	NA	bound	288	lex	3_3	1	no	FOC	288	all	4_4	232	herstellen	0.28292433708516396	BOW
herstellen.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSnav	-0.0077678662826174685	-0.2028154502542001	NA	NA	bound	269	all	3_3	1	weight	5000	5000	nav	4_4	237	herstellen	0.25711785303526424	BOW
herstellen.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSall	-0.07937605273246928	-0.2513667425606538	NA	NA	bound	269	all	3_3	1	weight	5000	5000	all	4_4	237	herstellen	0.26233525041416356	BOW
herstellen.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.01977596674517478	-0.14828559260097532	NA	NA	bound	269	all	3_3	1	weight	FOC	133	nav	4_4	237	herstellen	0.2582268624395275	BOW
herstellen.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSall	-0.014986821718967588	-0.12291204280667918	NA	NA	bound	269	all	3_3	1	weight	FOC	269	all	4_4	237	herstellen	0.2570886818133155	BOW
herstellen.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSnav	0.206179605697093	0.08800663898276859	NA	NA	bound	269	all	3_3	1	selection	5000	5000	nav	4_4	237	herstellen	0.24868094384189923	BOW
herstellen.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSall	0.3448434542303299	0.11139262523257489	NA	NA	bound	269	all	3_3	1	selection	5000	5000	all	4_4	237	herstellen	0.2517952156412924	BOW
herstellen.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSnav	0.07374787302103564	0.054100342618733296	NA	NA	bound	269	all	3_3	1	selection	FOC	133	nav	4_4	237	herstellen	0.25527866404627325	BOW
herstellen.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall	0.06294659499231088	0.08277874571780112	NA	NA	bound	269	all	3_3	1	selection	FOC	269	all	4_4	237	herstellen	0.25396120121428106	BOW
herstellen.BOWbound3all.PPMIno.LENGTH5000.SOCPOSnav	0.20481205865869037	0.11669263280303058	NA	NA	bound	411	all	3_3	1	no	5000	5000	nav	4_4	239	herstellen	0.24074522632702125	BOW
