_model	model.x	model.y	foc_minimum_features	soc_length	soc_length_num	tokens	type	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_ppmi	soc_soc_pos	soc_soc_win	stress	foc_base
hoop.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.5952308517782148	0.6992116386846449	1	FOC	182	263	hoop	NA	NA	bound	252	lex	3_3	weight	nav	4_4	0.2610896927909996	BOW
hoop.BOWbound3lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.5567168981603042	0.6091478348993746	1	FOC	252	263	hoop	NA	NA	bound	252	lex	3_3	weight	all	4_4	0.2665883980357286	BOW
hoop.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.6543587792091056	0.3134945894254162	1	5000	5000	263	hoop	NA	NA	bound	252	lex	3_3	selection	nav	4_4	0.2685225021865699	BOW
hoop.BOWbound3lex.PPMIselection.LENGTH5000.SOCPOSall	-0.6676839527983416	-0.05504190160240771	1	5000	5000	263	hoop	NA	NA	bound	252	lex	3_3	selection	all	4_4	0.19089634433551173	BOW
hoop.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.6462251088295086	0.5843075126371401	1	FOC	182	263	hoop	NA	NA	bound	252	lex	3_3	selection	nav	4_4	0.26213443341716564	BOW
hoop.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.6078013853513448	0.5147083787704849	1	FOC	252	263	hoop	NA	NA	bound	252	lex	3_3	selection	all	4_4	0.2553898322379304	BOW
hoop.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSnav	-1.4398427436903283	0.9954437990228673	1	5000	5000	299	hoop	NA	NA	bound	408	lex	3_3	no	nav	4_4	0.2568525442173115	BOW
hoop.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSall	-1.3868070650155013	1.3112026118693099	1	5000	5000	299	hoop	NA	NA	bound	408	lex	3_3	no	all	4_4	0.21975567605110105	BOW
hoop.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSnav	-1.3063206263661193	1.084978397493687	1	FOC	309	299	hoop	NA	NA	bound	408	lex	3_3	no	nav	4_4	0.2673131483244902	BOW
hoop.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSall	-1.2789974785240026	1.0380549503574228	1	FOC	408	299	hoop	NA	NA	bound	408	lex	3_3	no	all	4_4	0.2653076050297302	BOW
hoop.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSnav	0.813311663522001	0.059729239642070615	1	5000	5000	311	hoop	NA	NA	bound	334	all	3_3	weight	nav	4_4	0.17859139823267228	BOW
hoop.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSall	1.1205252739286453	-0.14717849615869896	1	5000	5000	311	hoop	NA	NA	bound	334	all	3_3	weight	all	4_4	0.2043975760029044	BOW
hoop.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSnav	0.15472554957597992	0.6609654072806632	1	FOC	182	311	hoop	NA	NA	bound	334	all	3_3	weight	nav	4_4	0.24155191046939797	BOW
hoop.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSall	0.12620240582354333	0.5231220717134079	1	FOC	334	311	hoop	NA	NA	bound	334	all	3_3	weight	all	4_4	0.2204093039792124	BOW
hoop.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSnav	1.0035765378564712	-0.1535339160910631	1	5000	5000	311	hoop	NA	NA	bound	334	all	3_3	selection	nav	4_4	0.17962915444363345	BOW
hoop.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSall	1.3080100256494367	-0.3533791684414057	1	5000	5000	311	hoop	NA	NA	bound	334	all	3_3	selection	all	4_4	0.19345026387918984	BOW
hoop.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSnav	0.4345226738584175	0.1972491303701111	1	FOC	182	311	hoop	NA	NA	bound	334	all	3_3	selection	nav	4_4	0.19510806362622352	BOW
hoop.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall	0.34141466033982754	0.1728833470143759	1	FOC	334	311	hoop	NA	NA	bound	334	all	3_3	selection	all	4_4	0.18795833409929918	BOW
hoop.BOWbound3all.PPMIno.LENGTH5000.SOCPOSnav	1.0386986074782365	-0.380444423027116	1	5000	5000	311	hoop	NA	NA	bound	552	all	3_3	no	nav	4_4	0.18832311917231337	BOW
hoop.BOWbound3all.PPMIno.LENGTH5000.SOCPOSall	1.4977930239110104	-0.6472245842382224	1	5000	5000	311	hoop	NA	NA	bound	552	all	3_3	no	all	4_4	0.18057218492076266	BOW
hoop.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSnav	0.4709804531069033	-0.0589543590517388	1	FOC	309	311	hoop	NA	NA	bound	552	all	3_3	no	nav	4_4	0.20080757637618157	BOW
hoop.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSall	0.34733561780719313	-0.06437188858913101	1	FOC	552	311	hoop	NA	NA	bound	552	all	3_3	no	all	4_4	0.18374723734557213	BOW
hoop.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-1.6510238266243096	0.20660463408756324	1	5000	5000	307	hoop	NA	NA	nobound	525	lex	10_10	weight	nav	4_4	0.2610500535967612	BOW
hoop.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSall	-1.6966770974008256	-0.34727725804416365	1	5000	5000	307	hoop	NA	NA	nobound	525	lex	10_10	weight	all	4_4	0.19043937553844642	BOW
hoop.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-1.6684778219903331	0.6422088612798007	1	FOC	393	307	hoop	NA	NA	nobound	525	lex	10_10	weight	nav	4_4	0.2438070079965093	BOW
hoop.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-1.605982783857815	0.5652405712058426	1	FOC	525	307	hoop	NA	NA	nobound	525	lex	10_10	weight	all	4_4	0.2500232229220228	BOW
hoop.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-2.0679602872504312	0.05152268945381436	1	5000	5000	307	hoop	NA	NA	nobound	525	lex	10_10	selection	nav	4_4	0.28119655219012646	BOW
