_model	model.x	model.y	minimum_contextwords	focc_part_of_speech	focc_sent_bound	socc_corpus	socc_length	socc_length_num	socc_window	focc_token_window	tokens	type	focc_weighting	stress
church_nocomp.10_10.none.noweight.nobound.c.5_5.10000.3	0.22565084164626928	0.09134605766172088	3	none	FALSE	c	10000	10000	5_5	10_10	249	church_nocomp	noweight	0.21359407553461499
church_nocomp.10_10.none.noweight.nobound.c.5_5.focc.2	0.2752694942551119	0.07693291987846476	2	none	FALSE	c	focc	27085	5_5	10_10	249	church_nocomp	noweight	0.23301357195015843
church_nocomp.10_10.none.noweight.nobound.c.5_5.focc.3	0.2752694942551119	0.07693291987846476	3	none	FALSE	c	focc	27085	5_5	10_10	249	church_nocomp	noweight	0.23301357195015843
church_nocomp.5_5.nvj.ppmi.nobound.s.5_5.5000.2	-0.34503739016724877	0.2829296400732463	2	nvj	FALSE	s	5000	812	5_5	5_5	232	church_nocomp	ppmi	0.31131995257784545
church_nocomp.5_5.nvj.ppmi.nobound.s.5_5.5000.3	-0.22827029003569557	0.18088767792423638	3	nvj	FALSE	s	5000	812	5_5	5_5	194	church_nocomp	ppmi	0.307793071584901
church_nocomp.5_5.nvj.ppmi.nobound.s.5_5.10000.2	-0.30499885699325874	0.2865322598962567	2	nvj	FALSE	s	10000	812	5_5	5_5	232	church_nocomp	ppmi	0.3095724483495063
church_nocomp.5_5.nvj.ppmi.nobound.s.5_5.10000.3	-0.27594961252716305	0.2308498001715644	3	nvj	FALSE	s	10000	812	5_5	5_5	194	church_nocomp	ppmi	0.30825027567613
church_nocomp.5_5.nvj.ppmi.nobound.s.5_5.focc.2	-0.292390071778559	0.24938576188289527	2	nvj	FALSE	s	focc	812	5_5	5_5	232	church_nocomp	ppmi	0.308338558832747
church_nocomp.5_5.nvj.ppmi.nobound.s.5_5.focc.3	-0.26034095663859763	0.20394305406871888	3	nvj	FALSE	s	focc	812	5_5	5_5	194	church_nocomp	ppmi	0.3078650268246172
church_nocomp.10_10.nvj.ppmi.nobound.s.5_5.5000.2	-0.2831584546488754	0.18333694859455205	2	nvj	FALSE	s	5000	812	5_5	10_10	246	church_nocomp	ppmi	0.2959799236637073
