_model	minimum_contextwords	part_of_speech	sent_bound	socc_corpus	socc_length	socc_length_num	socc_window	token_window	tokens	type	weighting	stress
church_nocomp.10_10.nvjid.ppmi.nobound.Semcor.10_10.5000.2	2	nvjid	False	Semcor	5e3	5000	10_10	10_10	249	church_nocomp	ppmi	0.27521037769929046
church_nocomp.10_10.nvjid.ppmi.nobound.Semcor.5_5.5000.3	3	nvjid	False	Semcor	5e3	5000	5_5	10_10	248	church_nocomp	ppmi	0.2852447580103361
church_nocomp.10_10.nvjid.ppmi.nobound.Semcor.10_10.5000.3	3	nvjid	False	Semcor	5e3	5000	10_10	10_10	248	church_nocomp	ppmi	0.27596524294550334
church_nocomp.10_10.nvjid.noweight.nobound.Semcor.5_5.5000.2	2	nvjid	False	Semcor	5e3	5000	5_5	10_10	249	church_nocomp	noweight	0.2554203627615734
church_nocomp.10_10.nvjid.noweight.nobound.Semcor.10_10.5000.2	2	nvjid	False	Semcor	5e3	5000	10_10	10_10	249	church_nocomp	noweight	0.2456826419058625
church_nocomp.10_10.nvjid.noweight.nobound.Semcor.5_5.5000.3	3	nvjid	False	Semcor	5e3	5000	5_5	10_10	249	church_nocomp	noweight	0.2550882994709482
church_nocomp.10_10.nvjid.noweight.nobound.Semcor.10_10.5000.3	3	nvjid	False	Semcor	5e3	5000	10_10	10_10	249	church_nocomp	noweight	0.2456826419058625
church_nocomp.10_10.none.ppmi.nobound.Semcor.5_5.5000.2	2	none	False	Semcor	5e3	5000	5_5	10_10	249	church_nocomp	ppmi	0.2848605985349622
church_nocomp.10_10.none.ppmi.nobound.Semcor.10_10.5000.2	2	none	False	Semcor	5e3	5000	10_10	10_10	249	church_nocomp	ppmi	0.2771933132661091
church_nocomp.10_10.none.ppmi.nobound.Semcor.5_5.5000.3	3	none	False	Semcor	5e3	5000	5_5	10_10	249	church_nocomp	ppmi	0.28445266139071973
church_nocomp.10_10.none.ppmi.nobound.Semcor.10_10.5000.3	3	none	False	Semcor	5e3	5000	10_10	10_10	249	church_nocomp	ppmi	0.2767714009452938
church_nocomp.10_10.none.noweight.nobound.Semcor.5_5.5000.2	2	none	False	Semcor	5e3	5000	5_5	10_10	249	church_nocomp	noweight	0.23551783415303928
church_nocomp.10_10.none.noweight.nobound.Semcor.10_10.5000.2	2	none	False	Semcor	5e3	5000	10_10	10_10	249	church_nocomp	noweight	0.22750399900922985
church_nocomp.10_10.none.noweight.nobound.Semcor.5_5.5000.3	3	none	False	Semcor	5e3	5000	5_5	10_10	249	church_nocomp	noweight	0.23551783415303928
church_nocomp.10_10.none.noweight.nobound.Semcor.10_10.5000.3	3	none	False	Semcor	5e3	5000	10_10	10_10	249	church_nocomp	noweight	0.22750399900922985
