_model	model.x	model.y	minimum_contextwords	foc_part_of_speech	foc_sent_bound	soc_corpus	soc_length	soc_length_num	soc_window	foc_token_window	tokens	type	foc_weighting	stress
church_nocomp.5_5.nvjid.noweight.nobound.Semcor.10_10.focc.3	-0.48702494251902545	-0.28491950324196463	3	nvjid	False	Semcor	focc	31607	10_10	5_5	245	church_nocomp	noweight	0.2315504465680143
church_nocomp.5_5.none.ppmi.nobound.Semcor.5_5.5000.2	0.1924412067952754	0.22624470037133224	2	none	False	Semcor	5000	5000	5_5	5_5	248	church_nocomp	ppmi	0.2862614469431518
church_nocomp.5_5.none.ppmi.nobound.Semcor.5_5.10000.2	0.14030282861828758	0.22246880718123124	2	none	False	Semcor	10000	10000	5_5	5_5	248	church_nocomp	ppmi	0.2885992853965552
church_nocomp.5_5.none.ppmi.nobound.Semcor.5_5.focc.2	0.260505112698118	0.2486891875862457	2	none	False	Semcor	focc	946	5_5	5_5	248	church_nocomp	ppmi	0.2967597562439356
church_nocomp.5_5.none.ppmi.nobound.Semcor.10_10.5000.2	0.11330467666753939	0.14970018697010837	2	none	False	Semcor	5000	5000	10_10	5_5	248	church_nocomp	ppmi	0.28507211551492667
church_nocomp.5_5.none.ppmi.nobound.Semcor.10_10.10000.2	0.09517698645027792	0.10828845045854206	2	none	False	Semcor	10000	10000	10_10	5_5	248	church_nocomp	ppmi	0.28613134659279665
church_nocomp.5_5.none.ppmi.nobound.Semcor.10_10.focc.2	0.12848545854025295	0.1217386881556126	2	none	False	Semcor	focc	946	10_10	5_5	248	church_nocomp	ppmi	0.30095305770263847
church_nocomp.5_5.none.noweight.nobound.Semcor.5_5.5000.2	-0.2886294358347824	0.00749961782988724	2	none	False	Semcor	5000	5000	5_5	5_5	249	church_nocomp	noweight	0.24488686461662565
church_nocomp.5_5.none.noweight.nobound.Semcor.5_5.10000.2	-0.3466931650740121	-0.018116146653460882	2	none	False	Semcor	10000	10000	5_5	5_5	249	church_nocomp	noweight	0.24936708691866474
church_nocomp.5_5.none.noweight.nobound.Semcor.5_5.focc.2	-0.5558209024868749	0.011990687146553627	2	none	False	Semcor	focc	34786	5_5	5_5	249	church_nocomp	noweight	0.2663555992850913
