_model	model.x	model.y	foc_part_of_speech	foc_sent_bound	foc_weighting	foc_window	soc_length	soc_length_num	soc_window	tokens	type	stress
zwart.foc5.all.weight.nobound.soc10.5000	-0.23292281716550192	-0.06243995040492739	all	nobound	weight	5_5	5000	5e3	10_10	283	zwart	0.23679505474505294
zwart.foc5.all.weight.nobound.soc10.10000	-0.2660989711908244	-0.03599874930044791	all	nobound	weight	5_5	10000	1e4	10_10	283	zwart	0.23641162246135183
zwart.foc5.all.weight.nobound.soc10.foc	-0.22357945544642643	0.24343342149293337	all	nobound	weight	5_5	foc	471	10_10	283	zwart	0.23671537836348938
zwart.foc5.all.selection.nobound.soc4.5000	0.40062330761893106	-0.0924693238944662	all	nobound	selection	5_5	5000	5e3	4_4	283	zwart	0.2389167649337324
zwart.foc5.all.selection.nobound.soc4.10000	0.40276979070545627	-0.10460068346931213	all	nobound	selection	5_5	10000	1e4	4_4	283	zwart	0.2346752322907011
zwart.foc5.all.selection.nobound.soc4.foc	0.11170107360645629	0.38271799310664234	all	nobound	selection	5_5	foc	471	4_4	283	zwart	0.21397452458382643
zwart.foc5.all.selection.nobound.soc10.5000	0.16112015718250547	-0.04368606621637652	all	nobound	selection	5_5	5000	5e3	10_10	283	zwart	0.23791954479008656
zwart.foc5.all.selection.nobound.soc10.10000	0.17164419725930677	-0.05207532049429859	all	nobound	selection	5_5	10000	1e4	10_10	283	zwart	0.2332281603511305
zwart.foc5.all.selection.nobound.soc10.foc	0.07520177933336834	0.2412644847048391	all	nobound	selection	5_5	foc	471	10_10	283	zwart	0.21945212567583616
zwart.foc5.all.noweight.nobound.soc4.5000	0.3868538376330296	-0.0990717520801222	all	nobound	noweight	5_5	5000	5e3	4_4	298	zwart	0.22708580449043592
zwart.foc5.all.noweight.nobound.soc4.10000	0.3754567072253303	-0.10046492826597307	all	nobound	noweight	5_5	10000	1e4	4_4	298	zwart	0.22477492770830046
zwart.foc5.all.noweight.nobound.soc4.foc	0.3818731648981541	0.290940932698765	all	nobound	noweight	5_5	foc	793	4_4	298	zwart	0.20085686943734468
zwart.foc5.all.noweight.nobound.soc10.5000	0.18383355571856316	-0.04961855797650237	all	nobound	noweight	5_5	5000	5e3	10_10	298	zwart	0.2218212707097501
zwart.foc5.all.noweight.nobound.soc10.10000	0.18694423787606085	-0.05303255048774106	all	nobound	noweight	5_5	10000	1e4	10_10	298	zwart	0.21932227844991467
zwart.foc5.all.noweight.nobound.soc10.foc	0.29377326081389393	0.2476071132466032	all	nobound	noweight	5_5	foc	793	10_10	298	zwart	0.19306682526677935
