_model	model.x	model.y	LEMMAPATH	LEMMAREL	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type
dof.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.10707772091381082	0.020786457492145985	NA	NA	BOW	nobound	662	all	5_5	1	weight	FOC	396	nav	4_4	310	dof
dof.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSall	-0.09933401440525597	0.020183711964761892	NA	NA	BOW	nobound	662	all	5_5	1	weight	FOC	662	all	4_4	310	dof
dof.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSnav	0.027466519317341245	-0.010240786056355164	NA	NA	BOW	nobound	662	all	5_5	1	selection	5000	5000	nav	4_4	310	dof
dof.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSall	0.22508266333759974	-0.1697794790282046	NA	NA	BOW	nobound	662	all	5_5	1	selection	5000	5000	all	4_4	310	dof
dof.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.06130573062302037	0.04216054564233254	NA	NA	BOW	nobound	662	all	5_5	1	selection	FOC	396	nav	4_4	310	dof
dof.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSall	-0.05716324747196065	0.03510449374167688	NA	NA	BOW	nobound	662	all	5_5	1	selection	FOC	662	all	4_4	310	dof
dof.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSnav	0.08838337252151356	0.0531393305324581	NA	NA	BOW	nobound	945	all	5_5	1	no	5000	5000	nav	4_4	310	dof
dof.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSall	0.4707347502416984	-0.17065074614232592	NA	NA	BOW	nobound	945	all	5_5	1	no	5000	5000	all	4_4	310	dof
dof.BOWnobound5all.PPMIno.LENGTHFOC.SOCPOSnav	-0.052945522666906525	0.10091387780686155	NA	NA	BOW	nobound	945	all	5_5	1	no	FOC	536	nav	4_4	310	dof
dof.BOWnobound5all.PPMIno.LENGTHFOC.SOCPOSall	-0.05329412362888771	0.12064718390492733	NA	NA	BOW	nobound	945	all	5_5	1	no	FOC	945	all	4_4	310	dof
dof.BOWnobound3lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.1386240359409049	-0.05390878874053329	NA	NA	BOW	nobound	376	lex	3_3	1	weight	5000	5000	nav	4_4	300	dof
dof.BOWnobound3lex.PPMIweight.LENGTH5000.SOCPOSall	0.014582373061176341	-0.18508929877402774	NA	NA	BOW	nobound	376	lex	3_3	1	weight	5000	5000	all	4_4	300	dof
dof.BOWnobound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.15328293532995196	-0.020380962574244797	NA	NA	BOW	nobound	376	lex	3_3	1	weight	FOC	269	nav	4_4	300	dof
dof.BOWnobound3lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.15356149337018662	-0.019084511042901615	NA	NA	BOW	nobound	376	lex	3_3	1	weight	FOC	376	all	4_4	300	dof
dof.BOWnobound3lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.12019212977818576	-0.07176707919787881	NA	NA	BOW	nobound	376	lex	3_3	1	selection	5000	5000	nav	4_4	300	dof
dof.BOWnobound3lex.PPMIselection.LENGTH5000.SOCPOSall	-0.0038655255692863553	-0.1930120075043774	NA	NA	BOW	nobound	376	lex	3_3	1	selection	5000	5000	all	4_4	300	dof
dof.BOWnobound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.13913836867077342	-0.023341136892091142	NA	NA	BOW	nobound	376	lex	3_3	1	selection	FOC	269	nav	4_4	300	dof
dof.BOWnobound3lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.13785313814347502	-0.02678424057559344	NA	NA	BOW	nobound	376	lex	3_3	1	selection	FOC	376	all	4_4	300	dof
dof.BOWnobound3lex.PPMIno.LENGTH5000.SOCPOSnav	-0.14234151687952912	-0.07845157458909176	NA	NA	BOW	nobound	443	lex	3_3	1	no	5000	5000	nav	4_4	308	dof
dof.BOWnobound3lex.PPMIno.LENGTH5000.SOCPOSall	0.002422897525460081	-0.2023762633478237	NA	NA	BOW	nobound	443	lex	3_3	1	no	5000	5000	all	4_4	308	dof
dof.BOWnobound3lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.15231894898503293	-0.02366294999282452	NA	NA	BOW	nobound	443	lex	3_3	1	no	FOC	314	nav	4_4	308	dof
dof.BOWnobound3lex.PPMIno.LENGTHFOC.SOCPOSall	-0.157141245904557	-0.026488827166562146	NA	NA	BOW	nobound	443	lex	3_3	1	no	FOC	443	all	4_4	308	dof
dof.BOWnobound3all.PPMIweight.LENGTH5000.SOCPOSnav	-0.11171625049333456	-0.07518509323852264	NA	NA	BOW	nobound	462	all	3_3	1	weight	5000	5000	nav	4_4	308	dof
dof.BOWnobound3all.PPMIweight.LENGTH5000.SOCPOSall	0.023157893656895575	-0.16212894157839478	NA	NA	BOW	nobound	462	all	3_3	1	weight	5000	5000	all	4_4	308	dof
dof.BOWnobound3all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.15372496381848103	-0.03082306483727681	NA	NA	BOW	nobound	462	all	3_3	1	weight	FOC	269	nav	4_4	308	dof
dof.BOWnobound3all.PPMIweight.LENGTHFOC.SOCPOSall	-0.1490091584886773	-0.03068592768681513	NA	NA	BOW	nobound	462	all	3_3	1	weight	FOC	462	all	4_4	308	dof
