_model	model.x	model.y	foc_minimum_features	soc_vector	soc_length_num	tokens	type	LEMMAPATH	LEMMAREL	foc_base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_ppmi	soc_soc_win	stress	pam_cluster	is_medoid
stof.BOWnobound3all.PPMIselection.LENGTH5000.SOCPOSnav	0.12898408038319203	0.1612724954577557	1	nav_5000	5000	313	stof	NA	NA	BOW	nobound	434	all	3_3	selection	4_4	0.2575927890671424	c7	0
stof.BOWnobound3all.PPMIselection.LENGTH5000.SOCPOSall	0.482868243169109	0.14773274053846294	1	all_5000	5000	313	stof	NA	NA	BOW	nobound	434	all	3_3	selection	4_4	0.24814818938003516	c5	0
stof.BOWnobound3all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.107231057012376	0.045113462432372284	1	nav_FOC	269	313	stof	NA	NA	BOW	nobound	434	all	3_3	selection	4_4	0.2487575487724374	c6	0
stof.BOWnobound3all.PPMIselection.LENGTHFOC.SOCPOSall	-0.08985345647891764	0.038272032933665434	1	all_FOC	434	313	stof	NA	NA	BOW	nobound	434	all	3_3	selection	4_4	0.24583080415859335	c1	0
stof.BOWnobound3all.PPMIno.LENGTH5000.SOCPOSnav	0.10092918478950526	0.11794392809303174	1	nav_5000	5000	313	stof	NA	NA	BOW	nobound	628	all	3_3	no	4_4	0.2510597570250531	c7	0
stof.BOWnobound3all.PPMIno.LENGTH5000.SOCPOSall	0.5442048346623722	0.10733123779332934	1	all_5000	5000	313	stof	NA	NA	BOW	nobound	628	all	3_3	no	4_4	0.2278068907110445	c5	0
stof.BOWnobound3all.PPMIno.LENGTHFOC.SOCPOSnav	-0.11028033733559824	0.029047303193033808	1	nav_FOC	363	313	stof	NA	NA	BOW	nobound	628	all	3_3	no	4_4	0.24573554995163566	c6	0
stof.BOWnobound3all.PPMIno.LENGTHFOC.SOCPOSall	-0.08599707842246071	0.01718674287918567	1	all_FOC	628	313	stof	NA	NA	BOW	nobound	628	all	3_3	no	4_4	0.2430118518165509	c6	0
stof.LEMMAPATHselection2.PPMIweight.LENGTH5000.SOCPOSnav	-0.07577487111661912	0.07297707581768112	1	nav_5000	5000	313	stof	selection2	NA	LEMMAPATH	bound	399	NA	NA	weight	4_4	0.22920261865680164	c8	0
stof.LEMMAPATHselection2.PPMIweight.LENGTH5000.SOCPOSall	0.2935522789903646	-0.06222272072511071	1	all_5000	5000	313	stof	selection2	NA	LEMMAPATH	bound	399	NA	NA	weight	4_4	0.27949392529474887	c4	0
stof.LEMMAPATHselection2.PPMIweight.LENGTHFOC.SOCPOSnav	-0.19426520172011014	0.08162831377350462	1	nav_FOC	254	313	stof	selection2	NA	LEMMAPATH	bound	399	NA	NA	weight	4_4	0.2467358258975179	c1	0
stof.LEMMAPATHselection2.PPMIweight.LENGTHFOC.SOCPOSall	-0.17580359825021893	0.075300342360645	1	all_FOC	399	313	stof	selection2	NA	LEMMAPATH	bound	399	NA	NA	weight	4_4	0.24222645059322123	c1	0
stof.LEMMAPATHselection2.PPMIselection.LENGTH5000.SOCPOSnav	0.11096453474263022	0.19591204807788762	1	nav_5000	5000	313	stof	selection2	NA	LEMMAPATH	bound	399	NA	NA	selection	4_4	0.2485379391853413	c7	0
stof.LEMMAPATHselection2.PPMIselection.LENGTH5000.SOCPOSall	0.4579582143235524	0.2003214366283964	1	all_5000	5000	313	stof	selection2	NA	LEMMAPATH	bound	399	NA	NA	selection	4_4	0.24977185382683265	c5	0
stof.LEMMAPATHselection2.PPMIselection.LENGTHFOC.SOCPOSnav	-0.10341061096084833	0.08418107860036952	1	nav_FOC	254	313	stof	selection2	NA	LEMMAPATH	bound	399	NA	NA	selection	4_4	0.2527648270395928	c8	0
stof.LEMMAPATHselection2.PPMIselection.LENGTHFOC.SOCPOSall	-0.09304680480091512	0.08000428216180369	1	all_FOC	399	313	stof	selection2	NA	LEMMAPATH	bound	399	NA	NA	selection	4_4	0.2437934147583131	c8	0
stof.LEMMAPATHselection2.PPMIno.LENGTH5000.SOCPOSnav	0.09345773195888309	0.17792399896779904	1	nav_5000	5000	313	stof	selection2	NA	LEMMAPATH	bound	563	NA	NA	no	4_4	0.2555626764769343	c7	0
stof.LEMMAPATHselection2.PPMIno.LENGTH5000.SOCPOSall	0.4793545430099795	0.181458952531377	1	all_5000	5000	313	stof	selection2	NA	LEMMAPATH	bound	563	NA	NA	no	4_4	0.26173742418638013	c5	0
stof.LEMMAPATHselection2.PPMIno.LENGTHFOC.SOCPOSnav	-0.09697399071187993	0.07486876847039609	1	nav_FOC	342	313	stof	selection2	NA	LEMMAPATH	bound	563	NA	NA	no	4_4	0.24856547397216994	c8	0
stof.LEMMAPATHselection2.PPMIno.LENGTHFOC.SOCPOSall	-0.08695365962435449	0.08037484344775148	1	all_FOC	563	313	stof	selection2	NA	LEMMAPATH	bound	563	NA	NA	no	4_4	0.24509531287494388	c8	0
stof.LEMMAPATHselection3.PPMIweight.LENGTH5000.SOCPOSnav	-0.09257138878834828	-0.0074888334448213675	1	nav_5000	5000	313	stof	selection3	NA	LEMMAPATH	bound	534	NA	NA	weight	4_4	0.23176223482142164	c1	0
stof.LEMMAPATHselection3.PPMIweight.LENGTH5000.SOCPOSall	0.26154987532407276	-0.11119202226984014	1	all_5000	5000	313	stof	selection3	NA	LEMMAPATH	bound	534	NA	NA	weight	4_4	0.2779141623775609	c4	0
stof.LEMMAPATHselection3.PPMIweight.LENGTHFOC.SOCPOSnav	-0.19317792204793602	0.039311659486212874	1	nav_FOC	346	313	stof	selection3	NA	LEMMAPATH	bound	534	NA	NA	weight	4_4	0.23490710686872443	c1	0
stof.LEMMAPATHselection3.PPMIweight.LENGTHFOC.SOCPOSall	-0.17663006996960456	0.031984072334912995	1	all_FOC	534	313	stof	selection3	NA	LEMMAPATH	bound	534	NA	NA	weight	4_4	0.2311365953308508	c1	0
stof.LEMMAPATHselection3.PPMIselection.LENGTH5000.SOCPOSnav	0.10305090761458523	0.14640335715043495	1	nav_5000	5000	313	stof	selection3	NA	LEMMAPATH	bound	534	NA	NA	selection	4_4	0.2489408446569291	c7	0
stof.LEMMAPATHselection3.PPMIselection.LENGTH5000.SOCPOSall	0.531556675523862	0.13090651619668128	1	all_5000	5000	313	stof	selection3	NA	LEMMAPATH	bound	534	NA	NA	selection	4_4	0.24551231545951005	c5	0
stof.LEMMAPATHselection3.PPMIselection.LENGTHFOC.SOCPOSnav	-0.11789677160424619	0.03789292777090345	1	nav_FOC	346	313	stof	selection3	NA	LEMMAPATH	bound	534	NA	NA	selection	4_4	0.24823765788442642	c1	0
stof.LEMMAPATHselection3.PPMIselection.LENGTHFOC.SOCPOSall	-0.10325098072526266	0.031049139532265436	1	all_FOC	534	313	stof	selection3	NA	LEMMAPATH	bound	534	NA	NA	selection	4_4	0.24407737077140632	c1	0
stof.LEMMAPATHselection3.PPMIno.LENGTH5000.SOCPOSnav	0.08047991805618523	0.11638148873052573	1	nav_5000	5000	313	stof	selection3	NA	LEMMAPATH	bound	849	NA	NA	no	4_4	0.2611675408201258	c7	0
stof.LEMMAPATHselection3.PPMIno.LENGTH5000.SOCPOSall	0.5873517575978554	0.07317074205892395	1	all_5000	5000	313	stof	selection3	NA	LEMMAPATH	bound	849	NA	NA	no	4_4	0.2589679773256442	c5	0
