_model	model.x	model.y	LEMMAPATH	LEMMAREL	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type
goedkoop.BOWbound3lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.8128483670397886	0.6638940517539332	NA	NA	BOW	bound	329	lex	3_3	1	selection	FOC	329	all	4_4	289	goedkoop
goedkoop.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSnav	-1.1700377948557286	0.8649932676277616	NA	NA	BOW	bound	445	lex	3_3	1	no	5000	5000	nav	4_4	302	goedkoop
goedkoop.BOWbound3lex.PPMIno.LENGTH5000.SOCPOSall	1.6559153298372165	0.21623736480717637	NA	NA	BOW	bound	445	lex	3_3	1	no	5000	5000	all	4_4	302	goedkoop
goedkoop.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSnav	-1.0407265630398321	0.7442181368853922	NA	NA	BOW	bound	445	lex	3_3	1	no	FOC	340	nav	4_4	302	goedkoop
goedkoop.BOWbound3lex.PPMIno.LENGTHFOC.SOCPOSall	-1.0249666439157812	0.7432398449133915	NA	NA	BOW	bound	445	lex	3_3	1	no	FOC	445	all	4_4	302	goedkoop
goedkoop.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSnav	-0.39237003405326754	1.0528222045110376	NA	NA	BOW	bound	401	all	3_3	1	weight	5000	5000	nav	4_4	298	goedkoop
goedkoop.BOWbound3all.PPMIweight.LENGTH5000.SOCPOSall	1.3016892320916207	0.7861161526003203	NA	NA	BOW	bound	401	all	3_3	1	weight	5000	5000	all	4_4	298	goedkoop
goedkoop.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.5185951344511771	0.9546056111064468	NA	NA	BOW	bound	401	all	3_3	1	weight	FOC	248	nav	4_4	298	goedkoop
goedkoop.BOWbound3all.PPMIweight.LENGTHFOC.SOCPOSall	-0.4789924211219519	0.9176968277103627	NA	NA	BOW	bound	401	all	3_3	1	weight	FOC	401	all	4_4	298	goedkoop
goedkoop.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSnav	-0.5536621446031086	1.3841653970054724	NA	NA	BOW	bound	401	all	3_3	1	selection	5000	5000	nav	4_4	298	goedkoop
goedkoop.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSall	1.2518267747941638	0.9061661934442626	NA	NA	BOW	bound	401	all	3_3	1	selection	5000	5000	all	4_4	298	goedkoop
goedkoop.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.611731832802801	0.9640717982135912	NA	NA	BOW	bound	401	all	3_3	1	selection	FOC	248	nav	4_4	298	goedkoop
goedkoop.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall	-0.5811307640377836	0.9585822537395701	NA	NA	BOW	bound	401	all	3_3	1	selection	FOC	401	all	4_4	298	goedkoop
goedkoop.BOWbound3all.PPMIno.LENGTH5000.SOCPOSnav	-0.7038842518767942	1.7277940530412566	NA	NA	BOW	bound	575	all	3_3	1	no	5000	5000	nav	4_4	303	goedkoop
goedkoop.BOWbound3all.PPMIno.LENGTH5000.SOCPOSall	1.9422496411358106	1.1699392080381608	NA	NA	BOW	bound	575	all	3_3	1	no	5000	5000	all	4_4	303	goedkoop
goedkoop.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSnav	-0.7569806572738194	1.1343721936488609	NA	NA	BOW	bound	575	all	3_3	1	no	FOC	340	nav	4_4	303	goedkoop
goedkoop.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSall	-0.7348955615380021	1.1406128944064116	NA	NA	BOW	bound	575	all	3_3	1	no	FOC	575	all	4_4	303	goedkoop
goedkoop.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.12262722167496933	-1.2172909222324335	NA	NA	BOW	nobound	697	lex	10_10	1	weight	5000	5000	nav	4_4	303	goedkoop
goedkoop.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSall	1.2848807991310551	-1.6005659534278358	NA	NA	BOW	nobound	697	lex	10_10	1	weight	5000	5000	all	4_4	303	goedkoop
goedkoop.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.16700731564018273	-1.3288893065891123	NA	NA	BOW	nobound	697	lex	10_10	1	weight	FOC	500	nav	4_4	303	goedkoop
goedkoop.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.1546366861097911	-1.3016826026466601	NA	NA	BOW	nobound	697	lex	10_10	1	weight	FOC	697	all	4_4	303	goedkoop
goedkoop.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.5584836773464987	-1.5154164050656442	NA	NA	BOW	nobound	697	lex	10_10	1	selection	5000	5000	nav	4_4	303	goedkoop
goedkoop.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSall	1.0083908884307302	-1.8829078546608977	NA	NA	BOW	nobound	697	lex	10_10	1	selection	5000	5000	all	4_4	303	goedkoop
goedkoop.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.4968351291478563	-1.4759103898943473	NA	NA	BOW	nobound	697	lex	10_10	1	selection	FOC	500	nav	4_4	303	goedkoop
goedkoop.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.4773299678570703	-1.4728583046375912	NA	NA	BOW	nobound	697	lex	10_10	1	selection	FOC	697	all	4_4	303	goedkoop
goedkoop.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.7687221756588034	-1.8688902333236261	NA	NA	BOW	nobound	1328	lex	10_10	1	no	5000	5000	nav	4_4	303	goedkoop
goedkoop.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSall	1.100203656034028	-2.303325422657504	NA	NA	BOW	nobound	1328	lex	10_10	1	no	5000	5000	all	4_4	303	goedkoop
goedkoop.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.686854133184505	-1.7829328910531945	NA	NA	BOW	nobound	1328	lex	10_10	1	no	FOC	985	nav	4_4	303	goedkoop
goedkoop.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSall	-0.6494205511743024	-1.7865343942344618	NA	NA	BOW	nobound	1328	lex	10_10	1	no	FOC	1328	all	4_4	303	goedkoop
goedkoop.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSnav	0.005711954562719137	-1.054360100909684	NA	NA	BOW	nobound	870	all	10_10	1	weight	5000	5000	nav	4_4	303	goedkoop
goedkoop.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSall	1.4253388213566633	-1.2889627067626916	NA	NA	BOW	nobound	870	all	10_10	1	weight	5000	5000	all	4_4	303	goedkoop
goedkoop.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.06941102302817395	-1.1660711358925617	NA	NA	BOW	nobound	870	all	10_10	1	weight	FOC	500	nav	4_4	303	goedkoop
goedkoop.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSall	0.004927507183628483	-1.1547243632434512	NA	NA	BOW	nobound	870	all	10_10	1	weight	FOC	870	all	4_4	303	goedkoop
goedkoop.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSnav	-0.9581030352513686	-1.5361277948942549	NA	NA	BOW	nobound	870	all	10_10	1	selection	5000	5000	nav	4_4	303	goedkoop
goedkoop.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSall	1.1899525801885598	-1.6942358165184088	NA	NA	BOW	nobound	870	all	10_10	1	selection	5000	5000	all	4_4	303	goedkoop
goedkoop.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.6034349679952784	-1.4006767828741489	NA	NA	BOW	nobound	870	all	10_10	1	selection	FOC	500	nav	4_4	303	goedkoop
goedkoop.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSall	-0.434197701240307	-1.4654685207474645	NA	NA	BOW	nobound	870	all	10_10	1	selection	FOC	870	all	4_4	303	goedkoop
goedkoop.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSnav	-1.2717154072046861	-1.986693951060002	NA	NA	BOW	nobound	1769	all	10_10	1	no	5000	5000	nav	4_4	303	goedkoop
goedkoop.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSall	1.3089581682826403	-2.38640059731033	NA	NA	BOW	nobound	1769	all	10_10	1	no	5000	5000	all	4_4	303	goedkoop
goedkoop.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSnav	-0.9725292103793447	-1.8330793216269878	NA	NA	BOW	nobound	1769	all	10_10	1	no	FOC	985	nav	4_4	303	goedkoop
goedkoop.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSall	-0.7341965996466681	-2.003017608152804	NA	NA	BOW	nobound	1769	all	10_10	1	no	FOC	1769	all	4_4	303	goedkoop
goedkoop.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.5618622004779342	-0.28834017711147936	NA	NA	BOW	nobound	484	lex	5_5	1	weight	5000	5000	nav	4_4	300	goedkoop
goedkoop.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSall	1.3783601714138705	-0.8822718479576813	NA	NA	BOW	nobound	484	lex	5_5	1	weight	5000	5000	all	4_4	300	goedkoop
goedkoop.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.5617795385472426	-0.40981513643370937	NA	NA	BOW	nobound	484	lex	5_5	1	weight	FOC	355	nav	4_4	300	goedkoop
goedkoop.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.5338044641116543	-0.377524264122954	NA	NA	BOW	nobound	484	lex	5_5	1	weight	FOC	484	all	4_4	300	goedkoop
goedkoop.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.9715926438371768	-0.1488584705659721	NA	NA	BOW	nobound	484	lex	5_5	1	selection	5000	5000	nav	4_4	300	goedkoop
goedkoop.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSall	1.26294609118496	-0.9207908633975078	NA	NA	BOW	nobound	484	lex	5_5	1	selection	5000	5000	all	4_4	300	goedkoop
goedkoop.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.7615747137606481	-0.302244835523567	NA	NA	BOW	nobound	484	lex	5_5	1	selection	FOC	355	nav	4_4	300	goedkoop
