vernietig/verb_pmi10	verniel/verb_pmi10	raw_co10_x	vernietig/verb_pmi4	verniel/verb_pmi4	raw_co10_y	raw_freq	cw
2.6256654		1				158	1983/name
0.06485692	0.15444787	3				6105	1983/noun
	2.580789	0				271	1984/name
-0.41949877	-0.6175899	2				6625	1984/noun
0.73142976		7	0.38865766		2.0	7315	1985/noun
0.35192916	1.0293068	5	0.34571952	1.7505069	2.0	7640	1986/noun
-1.2272309	-0.7321749	1	-0.3177907	0.17070593	1.0	7416	1987/noun
-0.78770465	-0.2926486	2	-0.57070917	-0.08221255	1.0	9548	1988/noun
0.81598306		1				964	1988/num
7.673918		1	8.58989		1.0	1	1988:Interlin/noun
0.48360592	0.16773178	9	0.5827721	0.3781215	4.0	12049	1989/noun
4.729479		1	5.6454506		1.0	19	1990-1997/num
4.3633747		1				28	1990-91/noun
0.3905076	-1.3116609	9	0.48957616	-0.4082216	4.0	13235	1990/noun
	0.8322647	0				1550	1990/num
1.5735987		1				450	1991/name
1.6313052	0.36277267	35	1.6939114	0.86065227	15.0	14872	1991/noun
1.9274349	1.0361967	4	2.144467		2.0	1264	1991/num
	4.982621	0				25	1992-'95/num
3.0076523	3.5027084	1				109	1992-1995/noun
1.162098		1				682	1992/name
0.45501408	0.6623881	12	0.48963684	0.7549899	5.0	16536	1992/noun
0.305578		1				1603	1992/num
-0.261118	0.23393808	6	-1.1426468	0.44446212	1.0	16911	1993/noun
0.1041297		12	-0.3723849		3.0	23494	1994/noun
0.07069291	1.2588961	1		1.4681522	0.0	2025	1994/num
4.3031793		1				30	1995-1997/num
4.2207603		1				32	1995-1998/num
0.85310733	0.17809212	29	0.6983576	-0.4225837	10.0	26842	1995/noun
-0.05906513		1				2302	1995/num
0.60085475	-0.7366707	25	0.48902842	-1.2196995	9.0	29771	1996/noun
	1.0446767	0				2511	1996/num
0.6161877	0.24220592	31	0.39450738	0.37217838	10.0	36388	1997/noun
0.49584904	0.29775792	2	0.7109291		1.0	2652	1997/num
6.2876234		1				4	1998-2002/name
0.71062225	0.5125311	48	0.83972967	0.80213314	22.0	51305	1998/noun
0.5989827	0.68857366	3		0.89502347	0.0	3597	1998/num
0.7213153	0.3371219	53	0.2977008	-0.061100442	14.0	56174	1999/noun
-0.6359315	-0.14087543	1	0.26798135		1.0	4135	1999/num
7.673918		1				1	19VN_atlas/noun
	0.9504304	0		1.4464694	0.0	4147	19de/num
0.15816468		2				3737	2,2/num
0.7876925		1				992	2,25/num
2.112083		1				266	2,35/num
0.64826083		3	0.45472553		1.0	3427	2,4/num
2.968902		1				112	2,47/num
-0.23019566	-1.3445776	5				13769	2,5/num
0.4670583		2	0.67847365		1.0	2743	2,8/num
0.17416239	0.6692185	1	1.0791167		1.0	1836	2,9/num
	-1.2119677	0		-0.30920586	0.0	24044	2-0/num
-1.8801365		1	-0.9720845		1.0	14374	2-1/num
0.22437604	-0.66686225	4	0.841681		3.0	7000	2.000/num
	3.5173972	0		4.4244256	0.0	105	2.15/noun
5.8821583		1				6	2.171/num
	3.8245192	0				78	2.20/noun
1.720155		2				783	2.200/num
5.8989654		1				6	2.210/num
6.06448		1	6.9804516		1.0	5	2.249/num
	2.9261692	0		3.1372283	0.0	381	2.30/noun
6.2876234		1	7.203595		1.0	4	2.346/num
	3.5618055	0				102	2.45/noun
0.66453135	0.8719053	4		1.3639596	0.0	4511	2.500/num
1.4322783		1	2.3391905		1.0	522	2.800/num
	5.051024	0				23	2.862/num
6.5753055		1	7.491277		1.0	3	2.994/num
-1.0107489	-1.20884	8	-1.0944649	-0.60596824	3.0	49039	2/name
-0.31887966	0.022025721	7		0.5110523	0.0	21190	2/noun
