_model	model.x	model.y	medoid_k9	medoid_k3	LEMMAPATH	LEMMAREL	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	medoid_newk3
destroy.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav	1.41425641105949	0.203598493760986	not_medoid	not_medoid	weight	NA	LEMMAPATH	bound	849	NA	NA	1	selection	FOC	462	nav	4_4	479	destroy	FALSE
destroy.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSnav	1.8504293706943	-1.5034249856745	not_medoid	not_medoid	NA	group1	LEMMAREL	bound	471	NA	NA	1	no	5000	5000	nav	4_4	437	destroy	FALSE
destroy.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSnav	1.43364633105989	-1.41715767855422	not_medoid	not_medoid	NA	group1	LEMMAREL	bound	471	NA	NA	1	no	FOC	240	nav	4_4	437	destroy	FALSE
destroy.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav	1.51287891275839	-1.13868305076923	not_medoid	not_medoid	NA	group1	LEMMAREL	bound	393	NA	NA	1	selection	5000	5000	nav	4_4	417	destroy	FALSE
destroy.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSnav	1.17350183673947	-1.05459756828524	medoid	not_medoid	NA	group1	LEMMAREL	bound	393	NA	NA	1	selection	FOC	213	nav	4_4	417	destroy	FALSE
destroy.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav	1.26049449387496	-0.917266894908815	not_medoid	not_medoid	NA	group1	LEMMAREL	bound	393	NA	NA	1	weight	5000	5000	nav	4_4	417	destroy	FALSE
destroy.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	1.03132095390255	-1.02859781457299	not_medoid	not_medoid	NA	group1	LEMMAREL	bound	393	NA	NA	1	weight	FOC	213	nav	4_4	417	destroy	FALSE
destroy.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	2.15123799770036	-0.772077649728017	not_medoid	not_medoid	NA	group2	LEMMAREL	bound	635	NA	NA	1	no	5000	5000	nav	4_4	478	destroy	FALSE
destroy.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	1.50428819076216	-0.642088244073028	not_medoid	not_medoid	NA	group2	LEMMAREL	bound	635	NA	NA	1	no	FOC	348	nav	4_4	478	destroy	FALSE
destroy.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	2.0154245579048	-0.647130694708982	not_medoid	not_medoid	NA	group2	LEMMAREL	bound	508	NA	NA	1	selection	5000	5000	nav	4_4	475	destroy	FALSE
destroy.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	1.40281605648266	-0.489704015076664	not_medoid	not_medoid	NA	group2	LEMMAREL	bound	508	NA	NA	1	selection	FOC	294	nav	4_4	475	destroy	FALSE
destroy.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	1.65237276882097	-0.581375486128923	medoid	not_medoid	NA	group2	LEMMAREL	bound	508	NA	NA	1	weight	5000	5000	nav	4_4	475	destroy	FALSE
