pmi10	raw_co10_x	pmi4	raw_co10_y	raw_freq	cw
6.1708302	1			4	1964-1966/noun
-0.592968	1			3496	1964/noun
0.044916805	2	0.26170856	1.0	3701	1965/noun
-0.6547519	1	0.2549825	1.0	3726	1966/noun
-0.21479614	2	0.002377605	1.0	4799	1967/noun
-0.71402735	1	0.19579749	1.0	3951	1969/noun
0.65780485	1			1011	1969/num
-0.33494443	2			5409	1970/noun
-0.02164722	2			3955	1971/noun
-0.9387632	1	-0.02889426	1.0	4944	1972/noun
-0.96702427	1	-0.056877732	1.0	5091	1973/noun
-0.33693236	2	-0.12055275	1.0	5419	1974/noun
-0.40086642	2			5784	1975/noun
-1.0863047	1	-0.1775556	1.0	5791	1976/noun
-0.28389645	2			5222	1977/noun
7.5571246	1	8.473971	1.0	1	1978-1996/tag
-0.998385	1			5248	1978/noun
0.07258748	3			5396	1979/noun
-1.3730453	1			7643	1980/noun
-0.32736713	2			5361	1981/noun
0.3363778	5	-0.3627836	1.0	6912	1982/noun
-0.0519361	3	-0.23977454	1.0	6105	1983/noun
-0.5362918	2			6625	1984/noun
-1.3312734	1	-0.42040706	1.0	7315	1985/noun
0.23513615	5	-0.46334523	1.0	7640	1986/noun
5.4529905	1			9	1988-1989/num
-0.2113505	4	-0.68662673	1.0	9548	1988/noun
-1.1372645	2			12049	1989/noun
0.6151612	1			1045	1989/num
-0.53721565	4			13235	1990/noun
0.22041564	1			1550	1990/num
-0.43139797	5	-1.1300563	1.0	14872	1991/noun
6.0419974	1			5	1992-2001/num
1.045305	1			682	1992/name
-0.35492614	6	-0.5425714	2.0	16536	1992/noun
0.18878497	1			1603	1992/num
-0.7833761	4			16911	1993/noun
-0.5516598	7	-0.48830244	3.0	23494	1994/noun
-0.8392221	6	-1.7201451	1.0	26842	1995/noun
-0.9430546	6	-1.8241137	1.0	29771	1996/noun
-0.26031962	1			2511	1996/num
-1.5482981	4	-2.0239952	1.0	36388	1997/noun
0.379056	2			2652	1997/num
-0.71242243	13	-1.2686181	3.0	51305	1998/noun
-0.61642265	1			3597	1998/num
1.3473281	1	2.2508996	1.0	509	1999-2000/num
-0.0046990816	1			1978	1999/name
-0.96787435	11	-1.7641269	2.0	56174	1999/noun
-0.7527245	1			4135	1999/num
0.6474712	1			1011	19de-eeuwse/adj
3.935454	1	4.8396807	1.0	39	1_circus/noun
3.509697	1	4.407084	1.0	59	1_kijker/noun
5.765365	1			6	1_renner/noun
4.113507	1			32	1m65/noun
5.1592293	1			11	1m68/noun
3.424361	1			63	1m70/noun
4.1263685	1			31	1m81/noun
3.5543473	1			55	1m86/noun
0.04137167	2			3737	2,2/num
2.8503008	1			112	2,29/num
-1.9564266	1			13769	2,5/num
-1.9969295	1			14374	2-1/num
1.159029	1	2.0743375	1.0	604	2./tag
5.765365	1	6.6822124	1.0	6	2.0i/name
4.9180675	1	5.8349147	1.0	14	2.195/num
5.6112146	1			7	2.28/noun
5.6112146	1			7	2.299/num
1.6211728	1			381	2.30/noun
4.1361246	1			31	2.999/num
-3.2069833	1			49039	2/name
-0.9952885	4	-1.4796562	1.0	21190	2/noun
-1.0566943	20	-1.5354264	5.0	111933	2/num
2.4134164	1	3.3156352	1.0	175	20,3/num
-0.7649778	1			4209	20-jarige/adj
5.477683	1	6.3945303	1.0	8	20.00-20.40/noun
-0.60499233	1			3566	20.00/noun
