_model	model.x	model.y	foc_minimum_features	soc_vector	soc_length_num	tokens	type	LEMMAPATH	LEMMAREL	foc_base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_ppmi	soc_soc_win	stress	pam_cluster	is_medoid
spoor.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.3032024097960601	0.013848637491973978	1	all_5000	5000	353	spoor	NA	NA	BOW	nobound	559	lex	10_10	weight	4_4	0.2643601965064877	c2	0
spoor.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.1479395573301695	0.054170275045380106	1	nav_FOC	387	353	spoor	NA	NA	BOW	nobound	559	lex	10_10	weight	4_4	0.27065636624750194	c1	0
spoor.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.1587696282754683	0.051869599027942	1	all_FOC	559	353	spoor	NA	NA	BOW	nobound	559	lex	10_10	weight	4_4	0.26353182922753954	c1	0
spoor.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.22920778519683138	0.10200935925668339	1	nav_5000	5000	353	spoor	NA	NA	BOW	nobound	559	lex	10_10	selection	4_4	0.26795841716132324	c1	0
spoor.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.3246581437203533	0.07616777952113438	1	all_5000	5000	353	spoor	NA	NA	BOW	nobound	559	lex	10_10	selection	4_4	0.2634709007875465	c2	0
spoor.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.20433225745861655	0.10984147996492663	1	nav_FOC	387	353	spoor	NA	NA	BOW	nobound	559	lex	10_10	selection	4_4	0.26339226867184934	c1	0
spoor.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.2219474328113378	0.11201934621863241	1	all_FOC	559	353	spoor	NA	NA	BOW	nobound	559	lex	10_10	selection	4_4	0.2572383163390613	c1	0
spoor.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.3275117248720171	0.22335322260478765	1	nav_5000	5000	358	spoor	NA	NA	BOW	nobound	1431	lex	10_10	no	4_4	0.26361440239066514	c3	0
spoor.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSall	-0.5172456788900152	0.27899619711405405	1	all_5000	5000	358	spoor	NA	NA	BOW	nobound	1431	lex	10_10	no	4_4	0.2617396208738148	c3	0
spoor.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.3243429907001183	0.22914713819207236	1	nav_FOC	1039	358	spoor	NA	NA	BOW	nobound	1431	lex	10_10	no	4_4	0.2483962773857326	c3	1
spoor.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSall	-0.3484750822829528	0.23426631664984293	1	all_FOC	1431	358	spoor	NA	NA	BOW	nobound	1431	lex	10_10	no	4_4	0.24382316281456126	c3	0
spoor.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSnav	0.02682392462316052	0.005082518263213803	1	nav_5000	5000	358	spoor	NA	NA	BOW	nobound	775	all	10_10	weight	4_4	0.250772490692969	c4	0
spoor.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSall	-0.009841375984854472	0.13557025365730332	1	all_5000	5000	358	spoor	NA	NA	BOW	nobound	775	all	10_10	weight	4_4	0.25686661281349615	c4	0
spoor.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.018696669499987037	0.02071263047488049	1	nav_FOC	387	358	spoor	NA	NA	BOW	nobound	775	all	10_10	weight	4_4	0.24905885640429376	c4	0
spoor.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.024240257720045098	0.022620226622989223	1	all_FOC	775	358	spoor	NA	NA	BOW	nobound	775	all	10_10	weight	4_4	0.25131126538051357	c4	0
spoor.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSnav	0.05779497200344728	0.14596517861799696	1	nav_5000	5000	358	spoor	NA	NA	BOW	nobound	775	all	10_10	selection	4_4	0.27193699779904235	c5	0
spoor.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSall	0.10184177415818843	0.323771305968784	1	all_5000	5000	358	spoor	NA	NA	BOW	nobound	775	all	10_10	selection	4_4	0.26108417896407415	c6	0
spoor.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.02281980409106336	0.11315952157492068	1	nav_FOC	387	358	spoor	NA	NA	BOW	nobound	775	all	10_10	selection	4_4	0.2582627517868226	c5	0
spoor.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSall	-0.027276221693640027	0.12187501172190701	1	all_FOC	775	358	spoor	NA	NA	BOW	nobound	775	all	10_10	selection	4_4	0.2552271496299191	c5	0
spoor.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSnav	-0.11946521134790217	0.316094938008167	1	nav_5000	5000	358	spoor	NA	NA	BOW	nobound	1966	all	10_10	no	4_4	0.2674885196801857	c3	0
spoor.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSall	-0.28665097112579896	0.6265662343241537	1	all_5000	5000	358	spoor	NA	NA	BOW	nobound	1966	all	10_10	no	4_4	0.1742643111258631	c3	0
spoor.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSnav	-0.18471503356439123	0.28811849964753145	1	nav_FOC	1039	358	spoor	NA	NA	BOW	nobound	1966	all	10_10	no	4_4	0.25675464715273866	c3	0
spoor.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSall	-0.22534118805415354	0.339422850936484	1	all_FOC	1966	358	spoor	NA	NA	BOW	nobound	1966	all	10_10	no	4_4	0.24258916563230193	c3	0
spoor.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.1786644899249585	-0.04159328851661327	1	nav_5000	5000	336	spoor	NA	NA	BOW	nobound	363	lex	5_5	weight	4_4	0.2705973102409055	c1	0
spoor.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSall	-0.31890758995313323	-0.048505508116106794	1	all_5000	5000	336	spoor	NA	NA	BOW	nobound	363	lex	5_5	weight	4_4	0.27509631113116645	c2	0
spoor.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.15018631908043378	-0.02968349591463635	1	nav_FOC	249	336	spoor	NA	NA	BOW	nobound	363	lex	5_5	weight	4_4	0.27668585825117115	c1	0
spoor.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.1584622130545065	-0.025238136068141227	1	all_FOC	363	336	spoor	NA	NA	BOW	nobound	363	lex	5_5	weight	4_4	0.2693971775540853	c1	0
spoor.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.22063053008884917	-0.031291756718361007	1	nav_5000	5000	336	spoor	NA	NA	BOW	nobound	363	lex	5_5	selection	4_4	0.272399455594096	c1	0
spoor.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSall	-0.3018169680573117	-0.02953483127626603	1	all_5000	5000	336	spoor	NA	NA	BOW	nobound	363	lex	5_5	selection	4_4	0.2731905426354058	c2	0
spoor.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.16727110438957196	-0.0034344998630375725	1	nav_FOC	249	336	spoor	NA	NA	BOW	nobound	363	lex	5_5	selection	4_4	0.27239620922673674	c1	1
spoor.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.17765770868207592	-5.353861735492514e-4	1	all_FOC	363	336	spoor	NA	NA	BOW	nobound	363	lex	5_5	selection	4_4	0.2675685282935789	c1	0
spoor.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSnav	-0.2413767232085754	0.05461272477236067	1	nav_5000	5000	355	spoor	NA	NA	BOW	nobound	703	lex	5_5	no	4_4	0.24127695500789914	c1	0
spoor.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSall	-0.43319013558189	0.03594918894502286	1	all_5000	5000	355	spoor	NA	NA	BOW	nobound	703	lex	5_5	no	4_4	0.27164907741522837	c2	0
spoor.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.24048713840574346	0.06637615819188498	1	nav_FOC	517	355	spoor	NA	NA	BOW	nobound	703	lex	5_5	no	4_4	0.2616373288352017	c1	0
spoor.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSall	-0.26499543830687305	0.07984517063844639	1	all_FOC	703	355	spoor	NA	NA	BOW	nobound	703	lex	5_5	no	4_4	0.2535596658673525	c1	0
